code,name,source
TWEXBPA,Real Trade Weighted U.S. Dollar Index: Broad (TWEXBPA),
TWEXMMTH,Trade Weighted U.S. Dollar Index: Major Currencies (TWEXMMTH),
TWEXMPA, Real Trade Weighted U.S. Dollar Index: Major Currencies (TWEXMPA),
TWEXOMTH,Trade Weighted U.S. Dollar Index: Other Important Trading Partners (TWEXOMTH),
TWEXOPA, Real Trade Weighted U.S. Dollar Index: Other Important Trading Partners (TWEXOPA),
MCOILWTICO," Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, Oklahoma (MCOILWTICO)",
POLVOILUSDM, Global price of Olive Oil (POLVOILUSDM),
PPOILUSDM, Global price of Palm Oil (PPOILUSDM),
PROILUSDM,Global price of Rapeseed Oil,
PSOILUSDM, Global price of Soybeans Oil (PSOILUSDM),
WPU02,Producer Price Index by Commodity for Processed Foods and Feeds (WPU02),
WPU02120301, Producer Price Index by Commodity for Processed Foods and Feeds: Wheat Flour (WPU02120301),
WPU022104," Producer Price Index by Commodity for Processed Foods and Feeds: Pork Products, Fresh, Frozen, or Processed, Except Sausage (WPU022104)",
WPU0223, Producer Price Index by Commodity for Processed Foods and Feeds: Unprocessed and Packaged Fish(WPU0223),
WPU023, Producer Price Index by Commodity for Processed Foods and Feeds: Dairy Products (WPU023),
WPU02420301," Producer Price Index by Commodity for Processed Foods and Feeds: Frozen Concentrated Orange Juice, Consumer and Institutional (WPU02420301)",
WPU0252, Producer Price Index by Commodity for Processed Foods and Feeds: Raw Cane Sugar and Sugar Cane Mill Products and By-Products (WPU0252),
WPU02780109," Producer Price Index by Commodity for Processed Foods and Feeds: Margarine, Butter Blends, and Butter Substitutes (WPU02780109)",
WPUFD4111, Producer Price Index by Commodity for Final Demand: Finished Consumer Foods (WPUFD4111),
WPUFD41113," Producer Price Index by Commodity for Final Demand: Finished Consumer Foods, Crude (WPUFD41113)",
UMCSENT, University of Michigan: Consumer Sentiment (UMCSENT),
USSLIND, Leading Index for the United States (USSLIND),
Average of RU2000VPR, Russell 2000® Value Price Index (RU2000VPR) Monthly Average,
Average of RU3000GTR, Russell 3000® Growth Total Market Index (RU3000GTR) Monthly Average,
Average of RU2000VTR, Russell 2000® Value Total Market Index (RU2000VTR) Monthly Average,
Average of RU2500TR, Russell 2500 Total Market Index (RU2500TR),
Average of RU3000PR, Russell 3000® Price Index (RU3000PR),
Average of RU3000TR, Russell 3000® Total Market Index (RU3000TR),
Average of RU3000VPR, Russell 3000® Value Price Index (RU3000VPR),
Average of WILLLRGCAP, Wilshire US Large-Cap Total Market Index (WILLLRGCAP),
Average of RU3000VTR,,
