DATE,PISPFG01CAM661N
2006-01-01,0.97871249
2006-02-01,0.969479354
2006-03-01,0.981790203
2006-04-01,0.988971531
2006-05-01,0.979738394
2006-06-01,0.980764299
2006-07-01,0.995126956
2006-08-01,0.985893819
2006-09-01,0.969479354
2006-10-01,0.96845345
2006-11-01,0.971531162
2006-12-01,0.980764299
2007-01-01,0.983842011
2007-02-01,0.989997435
2007-03-01,1.003334188
2007-04-01,0.999230572
2007-05-01,0.994101052
2007-06-01,0.981790203
2007-07-01,0.977686586
2007-08-01,0.974608874
2007-09-01,0.966401641
2007-10-01,0.948961272
2007-11-01,0.955116697
2007-12-01,0.966401641
2008-01-01,0.97358297
2008-02-01,0.97358297
2008-03-01,0.981790203
2008-04-01,0.997178764
2008-05-01,1.0064119
2008-06-01,1.020774558
2008-07-01,1.022826366
2008-08-01,1.027955886
2008-09-01,1.024878174
2008-10-01,1.040266735
2008-11-01,1.026929982
2008-12-01,1.016670941
2009-01-01,1.021800462
2009-02-01,1.034111311
2009-03-01,1.043344447
2009-04-01,1.033085407
2009-05-01,1.018722749
2009-06-01,1.019748654
2009-07-01,1.013593229
2009-08-01,1.008463709
2009-09-01,1.004360092
2009-10-01,0.99615286
2009-11-01,1.003334188
2009-12-01,0.998204668
2010-01-01,1.000256476
2010-02-01,1.002308284
2010-03-01,0.997178764
2010-04-01,0.993075147
2010-05-01,1.002308284
2010-06-01,0.999230572
2010-07-01,1.000256476
2010-08-01,1.000256476
2010-09-01,0.999230572
2010-10-01,1.000256476
2010-11-01,1.000256476
2010-12-01,1.005385996
2011-01-01,1.007437805
2011-02-01,1.009489613
2011-03-01,1.017696845
2011-04-01,1.022826366
2011-05-01,1.025904078
2011-06-01,1.024878174
2011-07-01,1.021800462
2011-08-01,1.031033598
2011-09-01,1.037189023
2011-10-01,1.041292639
2011-11-01,1.041292639
2011-12-01,1.037189023
2012-01-01,1.040266735
2012-02-01,1.041292639
2012-03-01,1.045396255
2012-04-01,1.048473968
2012-05-01,1.049499872
2012-06-01,1.050525776
2012-07-01,1.047448064
2012-08-01,1.044370351
2012-09-01,1.043344447
2012-10-01,1.042318543
2012-11-01,1.040266735
2012-12-01,1.035137215
2013-01-01,1.039240831
2013-02-01,1.052577584
2013-03-01,1.0566812
2013-04-01,1.05155168
2013-05-01,1.053603488
2013-06-01,1.058733008
2013-07-01,1.062836625
2013-08-01,1.063862529
2013-09-01,1.060784817
2013-10-01,1.0566812
