DATE,TRESEGCAM052N
1987-03-01,6897893700
1987-04-01,5294942600
1987-05-01,4865796300
1987-06-01,5492289700
1987-07-01,5578536200
1987-08-01,6387480100
1987-09-01,6699948300
1987-10-01,7075212200
1987-11-01,7007292600
1987-12-01,7277355400
1988-01-01,8649139800
1988-02-01,9586996600
1988-03-01,11689334600
1988-04-01,12761448600
1988-05-01,12535561600
1988-06-01,15415699900
1988-07-01,14573116600
1988-08-01,13072118500
1988-09-01,13914806400
1988-10-01,15381754400
1988-11-01,15255024300
1988-12-01,15390642900
1989-01-01,15823412500
1989-02-01,15385264200
1989-03-01,15424199700
1989-04-01,15366593200
1989-05-01,14770054100
1989-06-01,15143611000
1989-07-01,15418836100
1989-08-01,15947295100
1989-09-01,15693543000
1989-10-01,15666854900
1989-11-01,15538290300
1989-12-01,16055317400
1990-01-01,14909770500
1990-02-01,12936390800
1990-03-01,13788559400
1990-04-01,14243352200
1990-05-01,13244151000
1990-06-01,13870322300
1990-07-01,15265081600
1990-08-01,17717220700
1990-09-01,17545569100
1990-10-01,17371463600
1990-11-01,17711499100
1990-12-01,17845377600
1991-01-01,18137693100
1991-02-01,16784411300
1991-03-01,16959834500
1991-04-01,15834917800
1991-05-01,17215953700
1991-06-01,16478546100
1991-07-01,16738045400
1991-08-01,18001010000
1991-09-01,18074961600
1991-10-01,16909496200
1991-11-01,17334615300
1991-12-01,16252483200
1992-01-01,16117553300
1992-02-01,16025686900
1992-03-01,14681262000
1992-04-01,14896538900
1992-05-01,14816009300
1992-06-01,14651947100
1992-07-01,15082729800
1992-08-01,15120484400
1992-09-01,12224724200
1992-10-01,12629846700
1992-11-01,9802867100
1992-12-01,11431362700
1993-01-01,11221276700
1993-02-01,11064383700
1993-03-01,12708090600
1993-04-01,11819968200
1993-05-01,12492267100
1993-06-01,11664179800
1993-07-01,11723358600
1993-08-01,10472690300
1993-09-01,10729425800
1993-10-01,12563791500
1993-11-01,11762732500
1993-12-01,12481075100
1994-01-01,12789479500
1994-02-01,12441658500
1994-03-01,10947722300
1994-04-01,10614064500
1994-05-01,10951016500
1994-06-01,11649215800
1994-07-01,14592848800
1994-08-01,14641606600
1994-09-01,15588509000
1994-10-01,14778750400
1994-11-01,13287255600
1994-12-01,12285589100
1995-01-01,13198663200
1995-02-01,14326492000
1995-03-01,14594584700
1995-04-01,14746114400
1995-05-01,15011609600
1995-06-01,14802764000
1995-07-01,16598375500
1995-08-01,16668881400
1995-09-01,16001860100
1995-10-01,15533030000
1995-11-01,14879297200
1995-12-01,15048997500
1996-01-01,14810114900
1996-02-01,14569911000
1996-03-01,16836485300
1996-04-01,17199874400
1996-05-01,18233471400
1996-06-01,18570411400
1996-07-01,18530131900
1996-08-01,19443597000
1996-09-01,19336227000
1996-10-01,19872639000
1996-11-01,19953740200
1996-12-01,20422424000
1997-01-01,20737470400
1997-02-01,20894096900
1997-03-01,21488885600
1997-04-01,19708093600
1997-05-01,20874330100
1997-06-01,21109354200
1997-07-01,19406090200
1997-08-01,22318755700
1997-09-01,22334429900
1997-10-01,21817582900
1997-11-01,18623505500
1997-12-01,17822651400
1998-01-01,20693865100
1998-02-01,21164167400
1998-03-01,22278147000
1998-04-01,21640706900
1998-05-01,20419639000
1998-06-01,19829809300
1998-07-01,22384282700
1998-08-01,17833814700
1998-09-01,19420032600
1998-10-01,19992921500
1998-11-01,23221860200
1998-12-01,23307487500
1999-01-01,23324199800
1999-02-01,22236230000
1999-03-01,24847124800
