DATE,RU1000PR
1993-07-01,461.2400000000000000
1993-08-01,468.8181818181818182
1993-09-01,474.7719047619047619
1993-10-01,478.7438095238095238
1993-11-01,474.8842857142857143
1993-12-01,478.5672727272727273
1994-01-01,485.9923809523809524
1994-02-01,484.6984210526315789
1994-03-01,477.8530434782608696
1994-04-01,460.3420000000000000
1994-05-01,462.8485714285714286
1994-06-01,466.2940909090909091
1994-07-01,462.2950000000000000
1994-08-01,475.8208695652173913
1994-09-01,478.6442857142857143
1994-10-01,474.9738095238095238
1994-11-01,471.6842857142857143
1994-12-01,464.7547619047619048
1995-01-01,475.9285714285714286
1995-02-01,493.4973684210526316
1995-03-01,503.7569565217391304
1995-04-01,517.4910526315789474
1995-05-01,533.2809090909090909
1995-06-01,549.9390909090909091
1995-07-01,569.3640000000000000
1995-08-01,573.9952173913043478
1995-09-01,595.8510000000000000
1995-10-01,599.3931818181818182
1995-11-01,612.0414285714285714
1995-12-01,629.0110000000000000
1996-01-01,628.3690909090909091
1996-02-01,664.9135000000000000
1996-03-01,663.0952380952380952
1996-04-01,663.7409523809523810
1996-05-01,678.6122727272727273
1996-06-01,684.5620000000000000
1996-07-01,656.9977272727272727
1996-08-01,676.3859090909090909
1996-09-01,690.1135000000000000
1996-10-01,716.8208695652173913
1996-11-01,749.6660000000000000
1996-12-01,757.1819047619047619
1997-01-01,781.5559090909090909
1997-02-01,810.6889473684210526
1997-03-01,802.2600000000000000
1997-04-01,771.2290909090909091
1997-05-01,838.9476190476190476
1997-06-01,882.0166666666666667
1997-07-01,931.2431818181818182
1997-08-01,938.0371428571428571
1997-09-01,951.8828571428571429
1997-10-01,967.7426086956521739
1997-11-01,953.6100000000000000
1997-12-01,976.6813043478260870
1998-01-01,977.9380000000000000
1998-02-01,1038.7378947368421053
1998-03-01,1091.1922727272727273
1998-04-01,1126.4728571428571429
1998-05-01,1120.1435000000000000
1998-06-01,1115.5186363636363636
1998-07-01,1162.1945454545454545
1998-08-01,1077.2271428571428571
1998-09-01,1018.3414285714285714
1998-10-01,1028.0440909090909091
1998-11-01,1145.0350000000000000
1998-12-01,1190.5877272727272727
1999-01-01,1254.8420000000000000
1999-02-01,1245.8105000000000000
1999-03-01,1278.5830434782608696
1999-04-01,1331.8819047619047619
1999-05-01,1333.6847619047619048
1999-06-01,1324.0200000000000000
1999-07-01,1377.0254545454545455
1999-08-01,1321.4890909090909091
1999-09-01,1312.3352380952380952
1999-10-01,1297.1168181818181818
1999-11-01,1393.3014285714285714
1999-12-01,1436.2886363636363636
2000-01-01,1440.6665000000000000
2000-02-01,1418.2415000000000000
2000-03-01,1481.3300000000000000
2000-04-01,1486.0960000000000000
2000-05-01,1442.2872727272727273
2000-06-01,1490.9318181818181818
2000-07-01,1499.7265000000000000
2000-08-01,1513.7352173913043478
2000-09-01,1509.0300000000000000
2000-10-01,1426.0790909090909091
2000-11-01,1404.7261904761904762
2000-12-01,1356.7600000000000000
2001-01-01,1357.5757142857142857
2001-02-01,1325.2368421052631579
2001-03-01,1201.1904545454545455
2001-04-01,1202.1075000000000000
2001-05-01,1288.4245454545454545
2001-06-01,1256.5319047619047619
2001-07-01,1219.3304761904761905
2001-08-01,1192.9291304347826087
2001-09-01,1066.9763157894736842
2001-10-01,1086.9473913043478261
2001-11-01,1140.8671428571428571
2001-12-01,1158.9555000000000000
2002-01-01,1156.1633333333333333
2002-02-01,1117.0152631578947368
2002-03-01,1172.5395000000000000
2002-04-01,1132.7622727272727273
2002-05-01,1100.3368181818181818
2002-06-01,1032.6745000000000000
2002-07-01,919.4681818181818182
2002-08-01,930.7890909090909091
2002-09-01,885.1775000000000000
2002-10-01,868.4760869565217391
2002-11-01,924.2860000000000000
2002-12-01,914.7885714285714286
2003-01-01,912.3376190476190476
2003-02-01,854.0284210526315789
2003-03-01,863.2271428571428571
2003-04-01,906.5738095238095238
2003-05-01,955.7776190476190476
2003-06-01,1010.6066666666666667
2003-07-01,1017.3168181818181818
2003-08-01,1014.2738095238095238
2003-09-01,1046.6785714285714286
2003-10-01,1067.6069565217391304
2003-11-01,1082.3610526315789474
2003-12-01,1112.4118181818181818
2004-01-01,1164.8815000000000000
2004-02-01,1175.0847368421052632
2004-03-01,1157.0743478260869565
2004-04-01,1165.3842857142857143
2004-05-01,1132.5865000000000000
2004-06-01,1162.9519047619047619
2004-07-01,1134.1171428571428571
2004-08-01,1115.4350000000000000
2004-09-01,1147.2938095238095238
2004-10-01,1149.1157142857142857
2004-11-01,1202.3961904761904762
2004-12-01,1236.5654545454545455
2005-01-01,1218.0035000000000000
2005-02-01,1238.8031578947368421
2005-03-01,1235.7963636363636364
2005-04-01,1206.0004761904761905
2005-05-01,1222.6433333333333333
2005-06-01,1250.9131818181818182
2005-07-01,1274.8530000000000000
2005-08-01,1277.1343478260869565
2005-09-01,1280.5214285714285714
2005-10-01,1245.3790476190476190
2005-11-01,1293.1180952380952381
2005-12-01,1319.5042857142857143
2006-01-01,1338.4320000000000000
2006-02-01,1336.6447368421052632
2006-03-01,1354.4213043478260870
2006-04-01,1365.0700000000000000
2006-05-01,1350.7895454545454545
2006-06-01,1311.5286363636363636
2006-07-01,1315.8130000000000000
2006-08-01,1341.7339130434782609
2006-09-01,1373.5225000000000000
2006-10-01,1421.1813636363636364
2006-11-01,1449.2952380952380952
2006-12-01,1479.5545000000000000
2007-01-01,1490.3270000000000000
2007-02-01,1516.4373684210526316
2007-03-01,1476.7368181818181818
2007-04-01,1535.8140000000000000
2007-05-01,1583.3100000000000000
2007-06-01,1586.0133333333333333
2007-07-01,1591.6257142857142857
2007-08-01,1518.7382608695652174
2007-09-01,1564.5468421052631579
2007-10-01,1612.0669565217391304
2007-11-01,1532.1928571428571429
2007-12-01,1548.6890000000000000
2008-01-01,1440.9495238095238095
2008-02-01,1421.4940000000000000
2008-03-01,1378.9445000000000000
2008-04-01,1436.6813636363636364
2008-05-01,1475.6533333333333333
2008-06-01,1417.1238095238095238
2008-07-01,1323.7618181818181818
2008-08-01,1347.0023809523809524
2008-09-01,1275.7285714285714286
2008-10-01,1005.0730434782608696
2008-11-01,912.1031578947368421
2008-12-01,907.6445454545454545
2009-01-01,901.0390000000000000
2009-02-01,839.7957894736842105
2009-03-01,790.7113636363636364
2009-04-01,888.4814285714285714
2009-05-01,946.8145000000000000
2009-06-01,972.2668181818181818
2009-07-01,982.8190909090909091
2009-08-01,1062.3490476190476190
2009-09-01,1100.9990476190476190
2009-10-01,1125.0509090909090909
2009-11-01,1143.8285000000000000
2009-12-01,1169.8472727272727273
2010-01-01,1186.3005263157894737
2010-02-01,1150.7194736842105263
2010-03-01,1219.4291304347826087
2010-04-01,1269.3823809523809524
2010-05-01,1192.5920000000000000
2010-06-01,1148.3872727272727273
2010-07-01,1141.8571428571428571
2010-08-01,1149.7854545454545455
2010-09-01,1188.3966666666666667
2010-10-01,1242.4842857142857143
2010-11-01,1274.6257142857142857
2010-12-01,1322.2231818181818182
2011-01-01,1366.0795000000000000
2011-02-01,1408.6668421052631579
2011-03-01,1391.7408695652173913
