DATE,MANMM101CAM189N
1998-08-01,2.01425E+11
1998-09-01,2.01801E+11
1998-10-01,2.02757E+11
1998-11-01,2.0339E+11
1998-12-01,2.05479E+11
1999-01-01,2.04201E+11
1999-02-01,2.0155E+11
1999-03-01,2.00213E+11
1999-04-01,2.04811E+11
1999-05-01,2.08488E+11
1999-06-01,2.10424E+11
1999-07-01,2.12351E+11
1999-08-01,2.14003E+11
1999-09-01,2.13977E+11
1999-10-01,2.15247E+11
1999-11-01,2.17045E+11
1999-12-01,2.21601E+11
2000-01-01,2.17229E+11
2000-02-01,2.17651E+11
2000-03-01,2.18714E+11
2000-04-01,2.26269E+11
2000-05-01,2.27006E+11
2000-06-01,2.31459E+11
2000-07-01,2.33681E+11
2000-08-01,2.33924E+11
2000-09-01,2.36189E+11
2000-10-01,2.38603E+11
2000-11-01,2.40065E+11
2000-12-01,2.46636E+11
2001-01-01,2.40867E+11
2001-02-01,2.40889E+11
2001-03-01,2.40358E+11
2001-04-01,2.45547E+11
2001-05-01,2.50464E+11
2001-06-01,2.51852E+11
2001-07-01,2.54093E+11
2001-08-01,2.5392E+11
2001-09-01,2.60484E+11
2001-10-01,2.61061E+11
2001-11-01,2.669E+11
2001-12-01,2.75587E+11
2002-01-01,2.71609E+11
2002-02-01,2.69574E+11
2002-03-01,2.68791E+11
2002-04-01,2.72136E+11
2002-05-01,2.73694E+11
2002-06-01,2.79242E+11
2002-07-01,2.80179E+11
2002-08-01,2.81864E+11
2002-09-01,2.83358E+11
2002-10-01,2.85189E+11
2002-11-01,2.86449E+11
2002-12-01,2.89439E+11
2003-01-01,2.83589E+11
2003-02-01,2.79561E+11
2003-03-01,2.76445E+11
2003-04-01,2.79934E+11
2003-05-01,2.82603E+11
2003-06-01,2.88538E+11
2003-07-01,2.9337E+11
2003-08-01,2.94601E+11
2003-09-01,2.94915E+11
2003-10-01,2.9482E+11
2003-11-01,2.98136E+11
2003-12-01,3.03898E+11
2004-01-01,3.00576E+11
2004-02-01,3.00239E+11
2004-03-01,2.98213E+11
2004-04-01,3.06785E+11
2004-05-01,3.12438E+11
2004-06-01,3.17915E+11
2004-07-01,3.18477E+11
2004-08-01,3.16617E+11
2004-09-01,3.16442E+11
2004-10-01,3.18487E+11
2004-11-01,3.19006E+11
2004-12-01,3.29213E+11
2005-01-01,3.24414E+11
2005-02-01,3.22288E+11
2005-03-01,3.20022E+11
2005-04-01,3.27861E+11
2005-05-01,3.31394E+11
2005-06-01,3.36726E+11
2005-07-01,3.35553E+11
2005-08-01,3.32056E+11
2005-09-01,3.35909E+11
2005-10-01,3.39035E+11
2005-11-01,3.40808E+11
2005-12-01,3.48948E+11
2006-01-01,3.43068E+11
2006-02-01,3.42857E+11
2006-03-01,3.41666E+11
2006-04-01,3.50952E+11
2006-05-01,3.55907E+11
2006-06-01,3.62203E+11
2006-07-01,3.65544E+11
2006-08-01,3.64418E+11
2006-09-01,3.67475E+11
2006-10-01,3.71213E+11
2006-11-01,3.76648E+11
2006-12-01,3.86896E+11
2007-01-01,3.77715E+11
2007-02-01,3.74901E+11
2007-03-01,3.74132E+11
2007-04-01,3.84024E+11
2007-05-01,3.87714E+11
2007-06-01,3.96872E+11
2007-07-01,4.0054E+11
2007-08-01,4.00245E+11
