DATE,PIEAMP02CAM659N
1991-11-01,-3.059805285
1991-12-01,-3.333333333
1992-01-01,-3.883495146
1992-02-01,-2.510460251
1992-03-01,-1.406469761
1992-04-01,-1.131541726
1992-05-01,0
1992-06-01,0.426136364
1992-07-01,0.712250712
1992-08-01,1.575931232
1992-09-01,2.295552367
1992-10-01,2.869440459
1992-11-01,3.299856528
1992-12-01,3.735632184
1993-01-01,5.050505051
1993-02-01,4.291845494
1993-03-01,4.279600571
1993-04-01,4.43490701
1993-05-01,3.262411348
1993-06-01,2.828854314
1993-07-01,2.828854314
1993-08-01,3.526093089
1993-09-01,3.085553997
1993-10-01,3.068340307
1993-11-01,3.055555556
1993-12-01,3.462603878
1994-01-01,2.747252747
1994-02-01,3.840877915
1994-03-01,4.103967168
1994-04-01,4.657534247
1994-05-01,5.631868132
1994-06-01,6.877579092
1994-07-01,7.42778542
1994-08-01,7.356948229
1994-09-01,6.93877551
1994-10-01,7.036535859
1994-11-01,7.81671159
1994-12-01,8.032128514
1995-01-01,10.56149733
1995-02-01,9.511228534
1995-03-01,9.592641261
1995-04-01,8.638743455
1995-05-01,7.932379714
1995-06-01,7.722007722
1995-07-01,7.42637644
1995-08-01,6.345177665
1995-09-01,7.124681934
1995-10-01,5.941845765
1995-11-01,4.875
1995-12-01,4.337050805
1996-01-01,1.69286578
1996-02-01,1.326899879
1996-03-01,0.119904077
1996-04-01,0.481927711
1996-05-01,1.445783133
1996-06-01,0
1996-07-01,-0.357568534
1996-08-01,0.477326969
1996-09-01,0.118764846
1996-10-01,0.119331742
1996-11-01,-0.119189511
1996-12-01,0
1997-01-01,-0.118906064
1997-02-01,0.119047619
1997-03-01,0.838323353
1997-04-01,1.678657074
1997-05-01,0.593824228
1997-06-01,0.836320191
1997-07-01,0.717703349
1997-08-01,0.593824228
1997-09-01,0.355871886
1997-10-01,0.715137068
1997-11-01,1.312649165
1997-12-01,0.593824228
1998-01-01,0.833333333
1998-02-01,0.713436385
1998-03-01,-0.593824228
1998-04-01,-0.471698113
1998-05-01,-0.354191263
1998-06-01,0.236966825
1998-07-01,0.712589074
1998-08-01,0.826446281
1998-09-01,0.354609929
1998-10-01,1.301775148
1998-11-01,0.824499411
1998-12-01,0.236127509
1999-01-01,0.118063754
1999-02-01,-0.236127509
1999-03-01,2.031063321
1999-04-01,1.184834123
1999-05-01,1.303317536
1999-06-01,1.300236407
1999-07-01,2.476415094
1999-08-01,1.8735363
1999-09-01,3.062426384
1999-10-01,2.219626168
1999-11-01,2.336448598
1999-12-01,3.769140165
2000-01-01,3.773584906
2000-02-01,5.207100592
2000-03-01,4.918032787
2000-04-01,4.918032787
2000-05-01,5.14619883
2000-06-01,4.900816803
2000-07-01,3.452243959
2000-08-01,3.333333333
2000-09-01,3.2
2000-10-01,4.114285714
2000-11-01,4.794520548
2000-12-01,3.518728717
2001-01-01,3.181818182
2001-02-01,2.587176603
2001-03-01,2.34375
2001-04-01,2.678571429
2001-05-01,2.892102336
2001-06-01,1.557285873
2001-07-01,0.778642937
2001-08-01,0.778642937
2001-09-01,1.107419712
2001-10-01,-1.317233809
2001-11-01,-2.178649237
2001-12-01,-2.521929825
2002-01-01,-1.101321586
2002-02-01,-1.096491228
2002-03-01,-0.981461287
2002-04-01,-1.086956522
2002-05-01,-2.162162162
2002-06-01,-1.204819277
2002-07-01,-0.110375276
2002-08-01,0.55187638
2002-09-01,0.547645126
2002-10-01,2.447163515
2002-11-01,2.227171492
2002-12-01,2.924634421
2003-01-01,2.338530067
2003-02-01,2.88248337
2003-03-01,1.872246696
2003-04-01,-0.21978022
2003-05-01,-1.878453039
2003-06-01,-2.43902439
2003-07-01,-1.546961326
2003-08-01,-1.646542261
2003-09-01,-2.396514161
2003-10-01,-3.908794788
2003-11-01,-4.030501089
2003-12-01,-3.49726776
2004-01-01,-3.155603917
2004-02-01,-1.939655172
2004-03-01,-0.864864865
2004-04-01,2.202643172
2004-05-01,6.644144144
2004-06-01,7.045454545
2004-07-01,5.499438833
2004-08-01,5.357142857
2004-09-01,4.799107143
2004-10-01,5.536723164
2004-11-01,3.972758229
2004-12-01,3.963759909
2005-01-01,4.04494382
2005-02-01,3.076923077
2005-03-01,2.726281352
2005-04-01,1.939655172
2005-05-01,-0.316789863
2005-06-01,0
2005-07-01,-0.106382979
2005-08-01,-0.105932203
2005-09-01,1.171458999
2005-10-01,1.82012848
2005-11-01,3.165938865
2005-12-01,2.614379085
2006-01-01,2.483801296
2006-02-01,0.746268657
2006-03-01,1.27388535
2006-04-01,2.114164905
2006-05-01,2.542372881
2006-06-01,2.653927813
2006-07-01,4.685835996
2006-08-01,3.605514316
2006-09-01,1.157894737
2006-10-01,0.94637224
2006-11-01,1.693121693
2006-12-01,3.397027601
2007-01-01,2.950474183
2007-02-01,4.338624339
2007-03-01,4.716981132
2007-04-01,3.726708075
2007-05-01,3.099173554
2007-06-01,2.068252327
2007-07-01,-0.2034588
2007-08-01,-0.614124872
2007-09-01,0.208116545
2007-10-01,-0.9375
2007-11-01,-0.312174818
2007-12-01,-0.513347023
2008-01-01,0.204708291
2008-02-01,-0.60851927
2008-03-01,0
2008-04-01,1.497005988
2008-05-01,2.905811623
2008-06-01,5.977710233
2008-07-01,7.54332314
2008-08-01,8.959835221
2008-09-01,8.618899273
2008-10-01,9.779179811
2008-11-01,5.845511482
2008-12-01,1.960784314
2009-01-01,0.919305414
2009-02-01,1.224489796
2009-03-01,-0.2002002
2009-04-01,-2.458210423
2009-05-01,-4.479065239
2009-06-01,-5.736137667
2009-07-01,-7.203791469
2009-08-01,-6.899810964
2009-09-01,-6.405353728
2009-10-01,-6.513409962
2009-11-01,-2.958579882
2009-12-01,-0.303643725
2010-01-01,0.303643725
2010-02-01,-0.201612903
2010-03-01,-0.702106319
2010-04-01,0.302419355
2010-05-01,1.834862385
2010-06-01,0.507099391
2010-07-01,1.123595506
2010-08-01,0.913705584
2010-09-01,2.349336057
2010-10-01,3.586065574
2010-11-01,3.556910569
2010-12-01,4.467005076
2011-01-01,4.641775984
2011-02-01,5.95959596
2011-03-01,7.575757576
2011-04-01,8.24120603
2011-05-01,7.207207207
2011-06-01,8.173562059
2011-07-01,8.181818182
2011-08-01,8.651911469
2011-09-01,8.183632735
2011-10-01,6.627101879
2011-11-01,5.98626104
2011-12-01,3.984450923
2012-01-01,3.760848602
2012-02-01,3.431839847
2012-03-01,2.441314554
2012-04-01,1.299907149
2012-05-01,1.120448179
2012-06-01,0.46641791
2012-07-01,0.186741363
2012-08-01,-0.555555556
2012-09-01,0.184501845
2012-10-01,0.463821892
2012-11-01,0
2012-12-01,0.560747664
2013-01-01,0.371747212
2013-02-01,1.013824885
2013-03-01,0.183318057
2013-04-01,-0.824931256
2013-05-01,-0.184672207
2013-06-01,0.649953575
2013-07-01,1.025163094
2013-08-01,1.396648045
2013-09-01,0
2013-10-01,-0.184672207
2013-11-01,0.185185185
2013-12-01,1.301115242
2014-01-01,2.407407407
2014-02-01,2.189781022
2014-03-01,3.019213175
2014-04-01,3.789279113
2014-05-01,3.237742831
2014-06-01,3.136531365
2014-07-01,2.859778598
2014-08-01,2.662993572
2014-09-01,2.578268877
2014-10-01,2.405180389
2014-11-01,1.940850277
2014-12-01,-0.366972477
2015-01-01,-2.079566004
2015-02-01,-1.428571429
2015-03-01,-1.776198934
2015-04-01,-2.31522707
2015-05-01,-1.164874552
2015-06-01,-0.805008945
2015-07-01,0.179372197
2015-08-01,-0.447227191
2015-09-01,-0.538599641
2015-10-01,-0.361336947
2015-11-01,-0.271985494
2015-12-01,1.012891344
2016-01-01,1.754385965
2016-02-01,-1.086956522
2016-03-01,-1.898734177
2016-04-01,-1.640838651
2016-05-01,-0.997280145
2016-06-01,-0.721370604
2016-07-01,-1.163831692
2016-08-01,-1.168014376
2016-09-01,-0.270758123
2016-10-01,0.906618314
2016-11-01,1.636363636
