DATE,RNCABIS
1997-02-01,80.57
1997-03-01,79.71
1997-04-01,78.31
1997-05-01,78.9
1997-06-01,78.58
1997-07-01,79.14
1997-08-01,78.76
1997-09-01,78.62
1997-10-01,78.43
1997-11-01,77.22
1997-12-01,77.17
1998-01-01,77.13
1998-02-01,77.12
1998-03-01,78.05
1998-04-01,77.06
1998-05-01,76.41
1998-06-01,75.73
1998-07-01,74.62
1998-08-01,72.5
1998-09-01,72.24
1998-10-01,70.56
1998-11-01,70.77
1998-12-01,70.22
1999-01-01,71.19
1999-02-01,72.56
1999-03-01,72.04
1999-04-01,73.3
1999-05-01,74.95
1999-06-01,74.83
1999-07-01,73.87
1999-08-01,73.14
1999-09-01,73.61
1999-10-01,73.47
1999-11-01,74.01
1999-12-01,73.69
2000-01-01,74.69
2000-02-01,75.05
2000-03-01,74.63
2000-04-01,74.06
2000-05-01,73.41
2000-06-01,74.16
2000-07-01,74.26
2000-08-01,74.12
2000-09-01,74.27
2000-10-01,73.25
2000-11-01,72.05
2000-12-01,72.75
2001-01-01,73.16
2001-02-01,72.48
2001-03-01,71.16
2001-04-01,71.53
2001-05-01,72.62
2001-06-01,73.57
2001-07-01,73.47
2001-08-01,72.45
2001-09-01,71
2001-10-01,70.69
2001-11-01,69.26
2001-12-01,70.42
2002-01-01,69.67
2002-02-01,70.23
2002-03-01,70.59
2002-04-01,70.8
2002-05-01,71.96
2002-06-01,72.51
2002-07-01,71.72
2002-08-01,70.9
2002-09-01,70.61
2002-10-01,70.66
2002-11-01,70.88
2002-12-01,71.12
2003-01-01,71.94
2003-02-01,73.41
2003-03-01,75.1
2003-04-01,75.34
2003-05-01,78.92
2003-06-01,80.53
2003-07-01,79.32
2003-08-01,78.59
2003-09-01,80.06
2003-10-01,81.77
2003-11-01,82.9
2003-12-01,82.45
2004-01-01,82.81
2004-02-01,80.44
2004-03-01,80.64
2004-04-01,80.14
2004-05-01,78.59
2004-06-01,79.28
2004-07-01,81.4
2004-08-01,81.76
2004-09-01,83.23
2004-10-01,85.4
2004-11-01,88.72
2004-12-01,86.64
2005-01-01,86.34
2005-02-01,85.25
2005-03-01,86.5
2005-04-01,85.25
2005-05-01,84.14
2005-06-01,85.75
2005-07-01,87.25
2005-08-01,88.15
2005-09-01,90.11
2005-10-01,90.13
2005-11-01,90.44
2005-12-01,92.05
2006-01-01,91.81
2006-02-01,92.46
2006-03-01,91.88
2006-04-01,92.5
2006-05-01,94.63
2006-06-01,94.41
2006-07-01,93
2006-08-01,93.49
2006-09-01,93.7
2006-10-01,92.98
2006-11-01,92.26
2006-12-01,90.63
2007-01-01,88.98
2007-02-01,89.58
2007-03-01,89.62
2007-04-01,91.89
2007-05-01,95.22
2007-06-01,97.7
2007-07-01,98.7
2007-08-01,97.86
2007-09-01,100.36
2007-10-01,104.54
2007-11-01,104.93
2007-12-01,101.17
2008-01-01,99.8
2008-02-01,100.69
2008-03-01,99.24
2008-04-01,97.93
2008-05-01,99.98
2008-06-01,98.13
2008-07-01,98.08
2008-08-01,95.36
2008-09-01,95.99
2008-10-01,87.81
2008-11-01,86.63
2008-12-01,84.88
2009-01-01,85.39
2009-02-01,85.09
2009-03-01,84.04
2009-04-01,85.4
2009-05-01,90.58
2009-06-01,92.08
2009-07-01,91.87
2009-08-01,94.23
2009-09-01,94.39
2009-10-01,96.25
2009-11-01,95.89
2009-12-01,96.43
2010-01-01,97.75
2010-02-01,97.44
2010-03-01,100.06
2010-04-01,102.12
2010-05-01,100.09
2010-06-01,100.59
2010-07-01,99.78
2010-08-01,99.41
2010-09-01,99.72
2010-10-01,100.27
2010-11-01,101.04
2010-12-01,101.74
2011-01-01,102.7
2011-02-01,102.75
2011-03-01,103.78
2011-04-01,104.94
2011-05-01,104.12
2011-06-01,102.48
2011-07-01,104.8
2011-08-01,102.17
2011-09-01,101.25
2011-10-01,100
2011-11-01,99.87
2011-12-01,100.02
2012-01-01,101.16
2012-02-01,102.09
2012-03-01,102.41
2012-04-01,102.75
2012-05-01,101.65
2012-06-01,100.05
2012-07-01,101.37
2012-08-01,102.96
2012-09-01,103.49
2012-10-01,102.67
2012-11-01,102.02
2012-12-01,102
2013-01-01,101.74
2013-02-01,100.82
2013-03-01,99.54
2013-04-01,99.98
2013-05-01,100.08
2013-06-01,98.95
2013-07-01,98.24
2013-08-01,97.86
2013-09-01,98.29
2013-10-01,97.7
2013-11-01,96.92
2013-12-01,95.11
2014-01-01,92.99
2014-02-01,92.26
2014-03-01,91.59
2014-04-01,92.4
2014-05-01,93.41
2014-06-01,93.95
2014-07-01,94.84
2014-08-01,93.54
2014-09-01,93.47
2014-10-01,92.37
2014-11-01,92.08
2014-12-01,90.84
2015-01-01,87.83
2015-02-01,85.45
2015-03-01,85.61
2015-04-01,86.98
2015-05-01,88.15
2015-06-01,86.96
2015-07-01,84.19
2015-08-01,82.54
2015-09-01,81.69
2015-10-01,82.75
2015-11-01,82.17
2015-12-01,79.38
2016-01-01,77.14
2016-02-01,79.26
2016-03-01,82.4
2016-04-01,84.48
2016-05-01,84.19
2016-06-01,84.5
2016-07-01,83.77
2016-08-01,83.55
2016-09-01,82.91
2016-10-01,82.35
2016-11-01,81.53
2016-12-01,82.51
2017-01-01,83.78
2017-02-01,83.93
2017-03-01,81.83
2017-04-01,81.43
2017-05-01,80.04
2017-06-01,81.37
2017-07-01,84.86
2017-08-01,85.05
2017-09-01,86.97
2017-10-01,85.45
2017-11-01,84.52
2017-12-01,84.05
2018-01-01,86
2018-02-01,84.89
2018-03-01,82.59
2018-04-01,83.85
2018-05-01,83.64
