DATE,EXSLUS
2013-11-01,131.0895
2013-12-01,130.7643
2014-01-01,130.6857
2014-02-01,130.7968
2014-03-01,130.5857
2014-04-01,130.5936
2014-05-01,130.3833
2014-06-01,130.2714
2014-07-01,130.2123
2014-08-01,130.1748
2014-09-01,130.2562
2014-10-01,130.5618
2014-11-01,130.9278
2014-12-01,131.0786
2015-01-01,131.6075
2015-02-01,132.7221
2015-03-01,132.95
2015-04-01,132.9227
2015-05-01,133.46
2015-06-01,133.9382
2015-07-01,133.6818
2015-08-01,133.8519
2015-09-01,139.2329
2015-10-01,140.851
2015-11-01,141.9637
2015-12-01,143.335
2016-01-01,143.5505
2016-02-01,143.639
2016-03-01,145.1335
2016-04-01,145.2019
2016-05-01,145.9081
2016-06-01,145.8609
2016-07-01,145.401
2016-08-01,145.2035
2016-09-01,145.4581
2016-10-01,146.76
2016-11-01,147.81
2016-12-01,148.8152
2017-01-01,149.8342
2017-02-01,150.8721
2017-03-01,151.5048
2017-04-01,151.862
2017-05-01,152.3909
2017-06-01,152.8082
2017-07-01,153.5875
2017-08-01,153.0978
2017-09-01,152.8125
2017-10-01,153.4905
2017-11-01,153.5925
2017-12-01,153.1085
2018-01-01,153.7452
2018-02-01,154.7737
2018-03-01,155.6386
2018-04-01,156.1857
2018-05-01,157.5789
