DATE,RU2000VTR
1999-02-01,1931.7410000000000000
1999-03-01,1883.6617391304347826
1999-04-01,1966.2990476190476190
1999-05-01,2099.5714285714285714
1999-06-01,2134.8750000000000000
1999-07-01,2164.4813636363636364
1999-08-01,2088.3968181818181818
1999-09-01,2040.6628571428571429
1999-10-01,1962.9236363636363636
1999-11-01,2001.4880952380952381
1999-12-01,1976.3886363636363636
2000-01-01,2032.3660000000000000
2000-02-01,2045.4055000000000000
2000-03-01,2117.3200000000000000
2000-04-01,2081.8280000000000000
2000-05-01,2110.0472727272727273
2000-06-01,2163.7022727272727273
2000-07-01,2239.8965000000000000
2000-08-01,2295.2647826086956522
2000-09-01,2328.0938095238095238
2000-10-01,2238.4513636363636364
2000-11-01,2308.3595238095238095
2000-12-01,2378.0255000000000000
2001-01-01,2519.8509523809523810
2001-02-01,2608.0821052631578947
2001-03-01,2539.0545454545454545
2001-04-01,2546.7130000000000000
2001-05-01,2716.5190909090909091
2001-06-01,2766.2266666666666667
2001-07-01,2748.4147619047619048
2001-08-01,2784.9113043478260870
2001-09-01,2529.5826315789473684
2001-10-01,2505.0904347826086957
2001-11-01,2632.2666666666666667
2001-12-01,2806.9965000000000000
2002-01-01,2873.1366666666666667
2002-02-01,2870.8247368421052632
2002-03-01,3078.7315000000000000
2002-04-01,3194.1950000000000000
2002-05-01,3214.1977272727272727
2002-06-01,3039.9055000000000000
2002-07-01,2712.9509090909090909
2002-08-01,2607.0150000000000000
2002-09-01,2517.9440000000000000
2002-10-01,2367.4652173913043478
2002-11-01,2540.2415000000000000
2002-12-01,2576.2395238095238095
2003-01-01,2547.9157142857142857
2003-02-01,2393.9973684210526316
2003-03-01,2388.3585714285714286
2003-04-01,2528.5123809523809524
2003-05-01,2749.3800000000000000
2003-06-01,2968.6566666666666667
2003-07-01,3056.7700000000000000
2003-08-01,3099.8042857142857143
2003-09-01,3280.1533333333333333
2003-10-01,3387.8943478260869565
2003-11-01,3504.0973684210526316
2003-12-01,3630.3745454545454545
2004-01-01,3845.9475000000000000
2004-02-01,3865.9163157894736842
2004-03-01,3880.0556521739130435
2004-04-01,3922.0228571428571429
2004-05-01,3699.1860000000000000
2004-06-01,3864.0042857142857143
2004-07-01,3840.2409523809523810
