DATE,PISPIG01CAM661N
2011-11-01,1.061795348
2011-12-01,1.051519909
2012-01-01,1.056657628
2012-02-01,1.060939061
2012-03-01,1.061795348
2012-04-01,1.062651634
2012-05-01,1.060939061
2012-06-01,1.057513915
2012-07-01,1.049807336
2012-08-01,1.050663622
2012-09-01,1.058370201
2012-10-01,1.056657628
2012-11-01,1.054088768
2012-12-01,1.057513915
2013-01-01,1.059226488
2013-02-01,1.073783359
2013-03-01,1.072070786
2013-04-01,1.063507921
2013-05-01,1.060082774
2013-06-01,1.061795348
2013-07-01,1.061795348
2013-08-01,1.06607678
2013-09-01,1.064364207
2013-10-01,1.061795348
