DATE,PSOILUSDM
1996-05-01,598.333868
1996-06-01,565.925954
1996-07-01,550.05269
1996-08-01,552.25731
1996-09-01,554.902854
1996-10-01,509.708144
1996-11-01,509.928606
1996-12-01,506.180752
1997-01-01,526.463256
1997-02-01,527.124642
1997-03-01,544.320678
1997-04-01,537.045432
1997-05-01,529.549724
1997-06-01,507.944448
1997-07-01,483.473166
1997-08-01,490.087026
1997-09-01,509.928606
1997-10-01,541.895596
1997-11-01,565.705492
1997-12-01,546.74576
1998-01-01,550.05269
1998-02-01,581.358294
1998-03-01,597.011096
1998-04-01,614.207132
1998-05-01,617.073138
1998-06-01,565.044106
1998-07-01,544.761602
1998-08-01,522.935864
1998-09-01,544.54114
1998-10-01,544.320678
1998-11-01,545.863912
1998-12-01,522.715402
1999-01-01,505.078442
1999-02-01,443.12862
1999-03-01,411.16163
1999-04-01,421.523344
1999-05-01,401.020378
1999-06-01,373.242166
1999-07-01,340.834252
1999-08-01,368.832926
1999-09-01,375.88771
1999-10-01,362.219066
1999-11-01,356.266592
1999-12-01,349.652732
2000-01-01,356.04613
2000-02-01,347.007188
2000-03-01,371.47847
2000-04-01,400.13853
2000-05-01,381.178798
2000-06-01,359.132598
2000-07-01,341.495638
2000-08-01,336.645474
2000-09-01,340.834252
2000-10-01,329.370228
2000-11-01,330.472538
2000-12-01,328.047456
2001-01-01,321.433596
2001-02-01,325.401912
2001-03-01,351.857352
2001-04-01,333.99993
2001-05-01,323.638216
2001-06-01,332.456696
2001-07-01,383.383418
2001-08-01,397.492986
2001-09-01,358.471212
2001-10-01,333.99993
2001-11-01,352.959662
2001-12-01,348.770884
2002-01-01,343.479796
2002-02-01,341.936562
2002-03-01,356.927978
2002-04-01,365.085072
2002-05-01,376.769558
2002-06-01,399.03622
2002-07-01,423.066578
2002-08-01,453.269872
2002-09-01,443.12862
2002-10-01,445.553702
2002-11-01,490.748412
2002-12-01,479.063926
2003-01-01,453.490334
2003-02-01,451.065252
2003-03-01,460.986042
2003-04-01,481.489008
2003-05-01,495.819038
2003-06-01,488.102868
2003-07-01,464.954358
2003-08-01,436.51476
2003-09-01,494.93719
2003-10-01,575.626282
2003-11-01,581.358294
2003-12-01,619.057296
2004-01-01,643.528578
2004-02-01,704.817014
2004-03-01,738.327238
2004-04-01,719.367506
2004-05-01,679.463884
2004-06-01,624.789308
2004-07-01,575.846744
2004-08-01,520.069858
2004-09-01,508.826296
2004-10-01,458.120036
2004-11-01,460.986042
2004-12-01,451.285714
2005-01-01,434.8172026
2005-02-01,443.2562559
2005-03-01,513.095242
2005-04-01,498.6220549
2005-05-01,501.4145735
2005-06-01,529.740123
2005-07-01,546.9111065
2005-08-01,504.8771506
2005-09-01,496.8793552
2005-10-01,523.2928025
2005-11-01,490.056963
2005-12-01,466.004177
2006-01-01,482.9661034
2006-02-01,497.6407503
2006-03-01,515.9002506
2006-04-01,518.4337979
2006-05-01,557.357999
2006-06-01,550.122837
2006-07-01,586.7816592
2006-08-01,562.5327563
2006-09-01,534.2786339
2006-10-01,559.712934
2006-11-01,623.6135107
2006-12-01,628.6143237
2007-01-01,635.6024442
2007-02-01,664.8785822
2007-03-01,679.52401
2007-04-01,714.1094873
2007-05-01,756.064408
2007-06-01,782.9235511
2007-07-01,819.1528065
2007-08-01,797.0851537
2007-09-01,852.7122062
2007-10-01,879.8830126
2007-11-01,987.9637093
2007-12-01,1027.000181
2008-01-01,1143.053477
2008-02-01,1307.747515
2008-03-01,1321.272858
2008-04-01,1292.077677
2008-05-01,1330.467174
2008-06-01,1414.421203
2008-07-01,1372.265719
2008-08-01,1163.776905
2008-09-01,1042.092379
2008-10-01,808.7600543
2008-11-01,728.5224806
2008-12-01,680.967034
2009-01-01,754.7296108
2009-02-01,702.2204616
2009-03-01,694.1613507
2009-04-01,787.3012966
2009-05-01,845.2402849
2009-06-01,831.602706
2009-07-01,750.653068
2009-08-01,809.6729405
2009-09-01,749.402829
2009-10-01,797.621495
2009-11-01,854.2351345
2009-12-01,867.397718
2010-01-01,838.2197305
2010-02-01,840.4243505
2010-03-01,869.3871043
2010-04-01,868.0953705
2010-05-01,832.684974
2010-06-01,820.990467
2010-07-01,836.7372755
2010-08-01,895.27614
2010-09-01,929.6462612
2010-10-01,1034.848628
2010-11-01,1123.295883
2010-12-01,1208.33218
2011-01-01,1257.140463
2011-02-01,1268.352696
2011-03-01,1245.102279
2011-04-01,1279.14257
2011-05-01,1255.667566
2011-06-01,1250.059624
2011-07-01,1242.104954
2011-08-01,1225.270284
2011-09-01,1218.860911
2011-10-01,1126.770784
2011-11-01,1118.31974
2011-12-01,1103.044873
2012-01-01,1131.774746
2012-02-01,1170.223319
2012-03-01,1196.527442
2012-04-01,1232.582046
2012-05-01,1134.57762
2012-06-01,1097.795778
2012-07-01,1175.272424
2012-08-01,1188.510642
2012-09-01,1213.295212
2012-10-01,1119.918204
2012-11-01,1071.760266
2012-12-01,1088.784656
2013-01-01,1122.833962
2013-02-01,1131.979544
2013-03-01,1102.894224
2013-04-01,1086.747387
2013-05-01,1082.779071
2013-06-01,1058.592385
2013-07-01,1000.837354
2013-08-01,944.268809
2013-09-01,934.9683189
2013-10-01,897.6637522
2013-11-01,897.3134093
2013-12-01,872.4731159
2014-01-01,831.3517038
2014-02-01,873.6560962
2014-03-01,928.5439512
2014-04-01,934.097494
2014-05-01,893.532486
2014-06-01,871.5702715
2014-07-01,813.855515
2014-08-01,745.8439424
2014-09-01,711.7353215
2014-10-01,721.3804199
2014-11-01,721.3980771
2014-12-01,705.558568
2015-01-01,707.8814358
2015-02-01,697.9362789
2015-03-01,683.4322
2015-04-01,691.6732795
2015-05-01,716.4904769
2015-06-01,738.036629
2015-07-01,695.788093
2015-08-01,628.7471258
2015-09-01,590.2502613
2015-10-01,623.80725
2015-11-01,614.7362408
2015-12-01,677.199138
2016-01-01,659.9007823
2016-02-01,686.9044765
2016-03-01,713.855956
2016-04-01,748.5314791
2016-05-01,707.0321322
2016-06-01,703.604473
2016-07-01,669.8627639
2016-08-01,711.7376037
2016-09-01,722.6114469
2016-10-01,757.2554754
2016-11-01,772.4148625
2016-12-01,800.2560636
2017-01-01,771.8815544
2017-02-01,742.9221302
2017-03-01,723.4029191
2017-04-01,695.3023382
2017-05-01,714.066397
2017-06-01,704.827035
