DATE,RUMIDCAPPR
1993-08-01,633.3600000000000000
1993-09-01,634.8200000000000000
1993-10-01,634.5700000000000000
1993-11-01,618.2600000000000000
1993-12-01,639.5300000000000000
1994-01-01,656.4500000000000000
1994-02-01,645.9100000000000000
1994-03-01,617.3000000000000000
1994-04-01,620.8100000000000000
1994-05-01,619.9500000000000000
1994-06-01,600.5500000000000000
1994-07-01,620.3500000000000000
1994-08-01,648.0300000000000000
1994-09-01,631.1000000000000000
1994-10-01,635.0900000000000000
1994-11-01,605.4600000000000000
1994-12-01,612.1000000000000000
1995-01-01,623.8200000000000000
1995-02-01,654.5100000000000000
1995-03-01,672.0200000000000000
1995-04-01,681.2600000000000000
1995-05-01,701.9100000000000000
1995-06-01,715.6809090909090909
1995-07-01,746.1445000000000000
1995-08-01,759.3426086956521739
1995-09-01,785.6870000000000000
1995-10-01,773.4468181818181818
1995-11-01,785.8414285714285714
1995-12-01,798.8865000000000000
1996-01-01,794.9254545454545455
1996-02-01,842.6280000000000000
1996-03-01,846.6300000000000000
1996-04-01,856.5276190476190476
1996-05-01,881.2686363636363636
1996-06-01,874.4480000000000000
1996-07-01,828.7445454545454545
1996-08-01,852.1909090909090909
1996-09-01,873.9905000000000000
1996-10-01,901.8213043478260870
1996-11-01,932.7740000000000000
1996-12-01,939.3485714285714286
1997-01-01,963.9745454545454545
1997-02-01,980.9084210526315789
1997-03-01,973.2480000000000000
1997-04-01,929.1750000000000000
1997-05-01,996.4809523809523810
1997-06-01,1043.9704761904761905
1997-07-01,1100.9395454545454545
1997-08-01,1130.0680952380952381
1997-09-01,1168.2133333333333333
1997-10-01,1186.8691304347826087
1997-11-01,1156.4242105263157895
1997-12-01,1170.0452173913043478
1998-01-01,1161.7400000000000000
1998-02-01,1229.5136842105263158
1998-03-01,1295.5904545454545455
1998-04-01,1325.0666666666666667
1998-05-01,1305.6100000000000000
1998-06-01,1276.0709090909090909
1998-07-01,1292.4540909090909091
1998-08-01,1177.0171428571428571
1998-09-01,1098.2547619047619048
1998-10-01,1091.9590909090909091
1998-11-01,1222.5460000000000000
1998-12-01,1239.7690909090909091
1999-01-01,1297.3485000000000000
1999-02-01,1258.9025000000000000
1999-03-01,1280.3013043478260870
1999-04-01,1343.2128571428571429
1999-05-01,1391.4333333333333333
1999-06-01,1389.9409090909090909
1999-07-01,1420.2904545454545455
1999-08-01,1357.2813636363636364
1999-09-01,1333.4823809523809524
1999-10-01,1299.9640909090909091
1999-11-01,1395.5528571428571429
1999-12-01,1437.5200000000000000
2000-01-01,1490.2060000000000000
2000-02-01,1517.7830000000000000
2000-03-01,1625.4782608695652174
2000-04-01,1544.1745000000000000
2000-05-01,1526.4400000000000000
2000-06-01,1608.1600000000000000
2000-07-01,1616.5460000000000000
2000-08-01,1637.0504347826086957
2000-09-01,1682.0619047619047619
2000-10-01,1593.1086363636363636
2000-11-01,1593.5933333333333333
2000-12-01,1570.4020000000000000
2001-01-01,1584.3728571428571429
2001-02-01,1587.8942105263157895
2001-03-01,1476.9936363636363636
2001-04-01,1470.1020000000000000
2001-05-01,1582.5413636363636364
2001-06-01,1561.9395238095238095
2001-07-01,1516.9247619047619048
2001-08-01,1492.2291304347826087
2001-09-01,1332.9578947368421053
2001-10-01,1337.2943478260869565
2001-11-01,1417.0738095238095238
2001-12-01,1476.0820000000000000
