DATE,WILLRESIND
1992-08-01,77.3700000000000000
1992-09-01,80.3100000000000000
1992-10-01,81.1700000000000000
1992-11-01,81.8700000000000000
1992-12-01,85.9000000000000000
1993-01-01,91.8700000000000000
1993-02-01,96.3100000000000000
1993-03-01,102.7800000000000000
1993-04-01,96.9500000000000000
1993-05-01,95.4300000000000000
1993-06-01,97.9300000000000000
1993-07-01,99.9100000000000000
1993-08-01,101.9900000000000000
1993-09-01,106.6100000000000000
1993-10-01,103.6200000000000000
1993-11-01,99.1000000000000000
1993-12-01,98.9800000000000000
1994-01-01,101.9500000000000000
1994-02-01,106.1200000000000000
1994-03-01,101.2100000000000000
1994-04-01,102.3400000000000000
1994-05-01,104.4700000000000000
1994-06-01,102.4100000000000000
1994-07-01,102.6500000000000000
1994-08-01,102.5700000000000000
1994-09-01,100.8600000000000000
1994-10-01,97.1700000000000000
1994-11-01,93.3700000000000000
1994-12-01,100.6100000000000000
1995-01-01,97.3600000000000000
1995-02-01,100.4000000000000000
1995-03-01,100.9900000000000000
1995-04-01,100.2600000000000000
1995-05-01,103.5800000000000000
1995-06-01,105.3800000000000000
1995-07-01,107.0800000000000000
1995-08-01,108.3800000000000000
1995-09-01,110.3800000000000000
1995-10-01,106.9600000000000000
1995-11-01,108.0700000000000000
1995-12-01,114.3400000000000000
1996-01-01,115.9100000000000000
1996-02-01,117.3060000000000000
1996-03-01,118.5385714285714286
1996-04-01,118.3257142857142857
1996-05-01,121.4413636363636364
1996-06-01,123.4385000000000000
1996-07-01,123.4763636363636364
1996-08-01,126.7804545454545455
1996-09-01,130.6930000000000000
1996-10-01,134.8091304347826087
1996-11-01,139.6535000000000000
1996-12-01,147.9671428571428571
1997-01-01,156.7209090909090909
1997-02-01,159.2715789473684211
1997-03-01,163.2965000000000000
1997-04-01,155.0095454545454545
1997-05-01,157.5619047619047619
1997-06-01,162.5171428571428571
1997-07-01,169.7063636363636364
1997-08-01,171.2166666666666667
1997-09-01,178.2333333333333333
1997-10-01,185.0191304347826087
1997-11-01,180.6610526315789474
1997-12-01,183.8690909090909091
1998-01-01,185.8420000000000000
1998-02-01,184.5131578947368421
1998-03-01,181.5690909090909091
1998-04-01,183.3052380952380952
1998-05-01,180.2985000000000000
1998-06-01,174.0113636363636364
1998-07-01,175.9300000000000000
1998-08-01,160.5695238095238095
1998-09-01,150.3885714285714286
1998-10-01,148.1213636363636364
1998-11-01,155.0380000000000000
1998-12-01,154.0913636363636364
1999-01-01,155.2605263157894737
1999-02-01,151.3542105263157895
1999-03-01,148.9956521739130435
1999-04-01,157.1038095238095238
1999-05-01,168.5335000000000000
1999-06-01,166.6027272727272727
1999-07-01,161.5657142857142857
1999-08-01,156.1345454545454545
1999-09-01,152.4895238095238095
1999-10-01,146.2647619047619048
1999-11-01,146.7476190476190476
1999-12-01,143.5581818181818182
2000-01-01,152.3925000000000000
2000-02-01,149.0540000000000000
2000-03-01,149.3547826086956522
2000-04-01,160.1689473684210526
2000-05-01,168.3481818181818182
2000-06-01,172.9350000000000000
2000-07-01,182.0600000000000000
2000-08-01,186.3086956521739130
2000-09-01,185.5050000000000000
2000-10-01,179.2081818181818182
2000-11-01,180.1752380952380952
2000-12-01,191.3105000000000000
2001-01-01,195.8761904761904762
2001-02-01,194.1273684210526316
2001-03-01,193.6854545454545455
2001-04-01,193.2270000000000000
2001-05-01,201.1845454545454545
2001-06-01,209.7014285714285714
2001-07-01,212.3042857142857143
2001-08-01,219.1034782608695652
2001-09-01,203.9160000000000000
2001-10-01,200.9965217391304348
2001-11-01,205.5861904761904762
2001-12-01,213.7915000000000000
2002-01-01,216.7714285714285714
2002-02-01,219.0694736842105263
2002-03-01,232.5165000000000000
2002-04-01,239.3040909090909091
2002-05-01,236.7295454545454545
2002-06-01,240.6025000000000000
2002-07-01,224.5818181818181818
2002-08-01,223.9327272727272727
2002-09-01,224.9350000000000000
2002-10-01,208.1778260869565217
2002-11-01,215.2210000000000000
2002-12-01,219.9071428571428571
2003-01-01,217.6690476190476190
2003-02-01,215.3136842105263158
2003-03-01,220.9995238095238095
2003-04-01,232.9614285714285714
2003-05-01,244.1385714285714286
2003-06-01,251.3366666666666667
2003-07-01,260.2572727272727273
2003-08-01,265.6523809523809524
2003-09-01,274.7723809523809524
2003-10-01,286.1004347826086957
2003-11-01,290.5547368421052632
2003-12-01,300.4377272727272727
2004-01-01,307.1660000000000000
2004-02-01,320.3957894736842105
2004-03-01,332.4526086956521739
2004-04-01,307.6747619047619048
2004-05-01,297.3000000000000000
2004-06-01,319.6528571428571429
2004-07-01,329.9047619047619048
2004-08-01,337.8940909090909091
2004-09-01,351.2485714285714286
2004-10-01,364.5909523809523810
2004-11-01,381.9104761904761905
2004-12-01,403.5904545454545455
2005-01-01,386.7190000000000000
2005-02-01,390.3221052631578947
2005-03-01,388.4631818181818182
2005-04-01,389.2195238095238095
2005-05-01,410.7466666666666667
2005-06-01,432.2304545454545455
2005-07-01,456.5655000000000000
2005-08-01,449.1604347826086957
2005-09-01,452.1938095238095238
2005-10-01,434.6500000000000000
2005-11-01,452.6623809523809524
2005-12-01,469.1185714285714286
2006-01-01,490.5860000000000000
2006-02-01,502.7257894736842105
2006-03-01,529.1091304347826087
2006-04-01,518.2578947368421053
2006-05-01,509.2018181818181818
2006-06-01,517.5859090909090909
2006-07-01,543.8510000000000000
2006-08-01,556.5526086956521739
2006-09-01,579.1125000000000000
2006-10-01,604.5568181818181818
2006-11-01,616.9519047619047619
2006-12-01,636.2195000000000000
2007-01-01,657.9360000000000000
2007-02-01,701.6805263157894737
2007-03-01,657.0831818181818182
2007-04-01,665.6050000000000000
2007-05-01,642.2977272727272727
2007-06-01,618.7371428571428571
2007-07-01,593.6471428571428571
2007-08-01,564.7313043478260870
2007-09-01,587.1978947368421053
2007-10-01,614.9491304347826087
2007-11-01,553.0885714285714286
2007-12-01,536.4995000000000000
2008-01-01,494.0461904761904762
2008-02-01,509.3650000000000000
2008-03-01,516.2775000000000000
2008-04-01,563.5486363636363636
2008-05-01,572.0357142857142857
2008-06-01,537.9385714285714286
2008-07-01,502.8509090909090909
2008-08-01,527.3642857142857143
2008-09-01,528.2680952380952381
2008-10-01,375.9491304347826087
2008-11-01,278.5547368421052632
2008-12-01,284.2613636363636364
2009-01-01,277.0410000000000000
2009-02-01,232.3368421052631579
2009-03-01,203.2813636363636364
2009-04-01,250.4561904761904762
2009-05-01,273.7655000000000000
2009-06-01,279.1909090909090909
2009-07-01,275.8509090909090909
2009-08-01,337.0257142857142857
2009-09-01,363.5466666666666667
2009-10-01,364.7181818181818182
2009-11-01,371.9030000000000000
2009-12-01,398.8431818181818182
2010-01-01,399.1315789473684211
2010-02-01,390.4131578947368421
2010-03-01,437.6047826086956522
2010-04-01,468.4252380952380952
2010-05-01,460.8170000000000000
2010-06-01,449.2313636363636364
2010-07-01,446.5157142857142857
2010-08-01,465.9081818181818182
2010-09-01,487.4380952380952381
2010-10-01,505.9523809523809524
2010-11-01,507.2538095238095238
2010-12-01,510.7263636363636364
2011-01-01,528.6530000000000000
2011-02-01,550.5205263157894737
2011-03-01,545.1730434782608696
2011-04-01,564.9675000000000000
2011-05-01,584.2938095238095238
2011-06-01,571.4277272727272727
2011-07-01,597.0685000000000000
2011-08-01,532.4039130434782609
2011-09-01,525.3928571428571429
2011-10-01,518.8138095238095238
2011-11-01,540.3161904761904762
2011-12-01,550.6990476190476190
2012-01-01,583.7285000000000000
2012-02-01,610.6020000000000000
2012-03-01,615.6131818181818182
2012-04-01,629.1075000000000000
2012-05-01,634.0631818181818182
2012-06-01,625.6876190476190476
2012-07-01,660.1142857142857143
2012-08-01,659.9695652173913043
2012-09-01,667.5910526315789474
2012-10-01,651.5842857142857143
2012-11-01,640.3847619047619048
2012-12-01,656.8175000000000000
2013-01-01,688.1176190476190476
2013-02-01,698.5621052631578947
2013-03-01,708.8550000000000000
2013-04-01,743.4531818181818182
2013-05-01,766.4600000000000000
2013-06-01,704.4405000000000000
2013-07-01,728.2631818181818182
2013-08-01,684.9968181818181818
2013-09-01,687.6435000000000000
2013-10-01,711.0726086956521739
2013-11-01,694.7300000000000000
2013-12-01,679.6342857142857143
2014-01-01,696.7476190476190476
2014-02-01,726.4178947368421053
2014-03-01,743.1628571428571429
2014-04-01,763.3538095238095238
2014-05-01,789.3080952380952381
2014-06-01,801.0409523809523810
2014-07-01,815.1395454545454545
2014-08-01,817.4623809523809524
2014-09-01,803.3333333333333333
2014-10-01,816.4995652173913043
2014-11-01,867.4726315789473684
2014-12-01,893.9586363636363636
2015-01-01,955.6510000000000000
2015-02-01,942.5273684210526316
2015-03-01,927.7718181818181818
2015-04-01,922.7995238095238095
2015-05-01,895.5770000000000000
2015-06-01,871.7268181818181818
2015-07-01,887.9086363636363636
2015-08-01,891.1185714285714286
2015-09-01,855.7123809523809524
2015-10-01,922.0022727272727273
2015-11-01,915.6300000000000000
2015-12-01,925.9213636363636364
2016-01-01,906.9168421052631579
2016-02-01,879.0830000000000000
2016-03-01,954.1581818181818182
2016-04-01,978.9609523809523810
2016-05-01,989.1390476190476190
2016-06-01,1005.1090909090909091
2016-07-01,1071.9560000000000000
2016-08-01,1065.4126086956521739
2016-09-01,1042.5838095238095238
2016-10-01,991.4876190476190476
2016-11-01,955.5504761904761905
2016-12-01,991.8023809523809524
2017-01-01,1018.8970000000000000
2017-02-01,1023.3242105263157895
2017-03-01,1009.1682608695652174
2017-04-01,1035.9147368421052632
2017-05-01,1015.4672727272727273
2017-06-01,1040.8704545454545455
2017-07-01,1036.8555000000000000
2017-08-01,1038.3986956521739130
2017-09-01,1049.6995000000000000
2017-10-01,1049.3531818181818182
2017-11-01,1063.1414285714285714
2017-12-01,1059.0810000000000000
2018-01-01,1024.4338095238095238
2018-02-01,959.3768421052631579
2018-03-01,968.5566666666666667
2018-04-01,978.3923809523809524
2018-05-01,1010.9531818181818182
2018-06-01,1055.0538095238095238
