DATE,RU3000VTR
1993-07-01,839.4200000000000000
1993-08-01,869.9500000000000000
1993-09-01,873.1000000000000000
1993-10-01,874.3900000000000000
1993-11-01,855.9500000000000000
1993-12-01,873.0500000000000000
1994-01-01,905.9000000000000000
1994-02-01,877.6100000000000000
1994-03-01,844.3200000000000000
1994-04-01,859.7300000000000000
1994-05-01,868.5500000000000000
1994-06-01,847.5800000000000000
1994-07-01,872.8200000000000000
1994-08-01,898.8600000000000000
1994-09-01,871.1400000000000000
1994-10-01,880.2800000000000000
1994-11-01,844.7200000000000000
1994-12-01,856.0700000000000000
1995-01-01,879.2000000000000000
1995-02-01,913.7400000000000000
1995-03-01,932.2100000000000000
1995-04-01,961.4900000000000000
1995-05-01,1000.0000000000000000
1995-06-01,1008.7009090909090909
1995-07-01,1040.4165000000000000
1995-08-01,1053.6404347826086957
1995-09-01,1095.2270000000000000
1995-10-01,1100.4627272727272727
1995-11-01,1119.9833333333333333
1995-12-01,1161.9815000000000000
1996-01-01,1170.6481818181818182
1996-02-01,1227.7460000000000000
1996-03-01,1231.1242857142857143
1996-04-01,1236.5552380952380952
1996-05-01,1255.3790909090909091
1996-06-01,1259.2455000000000000
1996-07-01,1220.5131818181818182
1996-08-01,1256.7954545454545455
1996-09-01,1280.2035000000000000
1996-10-01,1328.4539130434782609
1996-11-01,1394.0420000000000000
1996-12-01,1419.4628571428571429
1997-01-01,1464.7322727272727273
1997-02-01,1517.5378947368421053
1997-03-01,1517.8300000000000000
1997-04-01,1458.1531818181818182
1997-05-01,1573.0038095238095238
1997-06-01,1660.8742857142857143
1997-07-01,1734.7186363636363636
1997-08-01,1765.6800000000000000
1997-09-01,1815.0938095238095238
1997-10-01,1858.0108695652173913
1997-11-01,1832.8278947368421053
1997-12-01,1896.5478260869565217
1998-01-01,1879.9480000000000000
1998-02-01,1976.1068421052631579
1998-03-01,2094.5900000000000000
1998-04-01,2168.0123809523809524
1998-05-01,2149.0260000000000000
1998-06-01,2121.7500000000000000
1998-07-01,2162.1990909090909091
1998-08-01,1983.1004761904761905
1998-09-01,1876.5604761904761905
1998-10-01,1910.5504545454545455
1998-11-01,2086.5045000000000000
1998-12-01,2124.7486363636363636
1999-01-01,2203.9340000000000000
1999-02-01,2159.0480000000000000
1999-03-01,2212.0626086956521739
1999-04-01,2328.5290476190476190
1999-05-01,2420.4952380952380952
1999-06-01,2405.5563636363636364
1999-07-01,2450.0518181818181818
1999-08-01,2355.6063636363636364
1999-09-01,2267.5485714285714286
1999-10-01,2223.5040909090909091
1999-11-01,2334.6400000000000000
1999-12-01,2301.2636363636363636
2000-01-01,2272.1160000000000000
2000-02-01,2158.6400000000000000
2000-03-01,2222.8321739130434783
2000-04-01,2335.0135000000000000
2000-05-01,2317.6036363636363636
2000-06-01,2343.4072727272727273
2000-07-01,2300.7855000000000000
2000-08-01,2373.5443478260869565
2000-09-01,2401.6119047619047619
2000-10-01,2369.8945454545454545
2000-11-01,2420.6166666666666667
2000-12-01,2442.9280000000000000
2001-01-01,2482.8109523809523810
2001-02-01,2511.3947368421052632
2001-03-01,2392.0904545454545455
2001-04-01,2408.4320000000000000
2001-05-01,2540.9590909090909091
2001-06-01,2518.8747619047619048
2001-07-01,2483.0980952380952381
2001-08-01,2463.0139130434782609
2001-09-01,2251.1431578947368421
2001-10-01,2258.0639130434782609
2001-11-01,2327.4123809523809524
2001-12-01,2374.9775000000000000
2002-01-01,2398.4347619047619048
2002-02-01,2348.8321052631578947
2002-03-01,2505.3340000000000000
2002-04-01,2480.3286363636363636
2002-05-01,2461.1454545454545455
2002-06-01,2345.0785000000000000
2002-07-01,2088.8150000000000000
2002-08-01,2084.8027272727272727
2002-09-01,1984.9920000000000000
2002-10-01,1925.2943478260869565
2002-11-01,2058.5705000000000000
2002-12-01,2065.9209523809523810
2003-01-01,2076.2909523809523810
2003-02-01,1938.4763157894736842
2003-03-01,1938.2780952380952381
2003-04-01,2039.6038095238095238
2003-05-01,2169.8619047619047619
2003-06-01,2313.5961904761904762
2003-07-01,2323.3140909090909091
2003-08-01,2322.3504761904761905
2003-09-01,2384.3557142857142857
2003-10-01,2448.0956521739130435
2003-11-01,2495.4110526315789474
2003-12-01,2594.0340909090909091
2004-01-01,2727.7525000000000000
2004-02-01,2760.2084210526315789
2004-03-01,2751.9343478260869565
2004-04-01,2756.9576190476190476
2004-05-01,2668.5455000000000000
2004-06-01,2753.6004761904761905
2004-07-01,2735.7947619047619048
2004-08-01,2727.5390909090909091
2004-09-01,2823.3609523809523810
2004-10-01,2846.9028571428571429
2004-11-01,2990.6852380952380952
2004-12-01,3086.9095454545454545
2005-01-01,3049.0655000000000000
2005-02-01,3137.9147368421052632
2005-03-01,3151.9086363636363636
2005-04-01,3077.5700000000000000
2005-05-01,3101.6966666666666667
2005-06-01,3192.4831818181818182
2005-07-01,3256.2560000000000000
2005-08-01,3257.1104347826086957
2005-09-01,3291.2042857142857143
2005-10-01,3179.3676190476190476
2005-11-01,3295.0771428571428571
2005-12-01,3367.7795238095238095
2006-01-01,3449.5995000000000000
2006-02-01,3482.7594736842105263
2006-03-01,3546.3778260869565217
2006-04-01,3597.0015789473684211
2006-05-01,3597.6818181818181818
2006-06-01,3504.5536363636363636
2006-07-01,3580.1115000000000000
2006-08-01,3674.3917391304347826
2006-09-01,3740.7630000000000000
2006-10-01,3869.7031818181818182
2006-11-01,3954.5904761904761905
2006-12-01,4067.0815000000000000
2007-01-01,4085.7585000000000000
2007-02-01,4183.9110526315789474
2007-03-01,4084.2609090909090909
2007-04-01,4250.9430000000000000
2007-05-01,4382.6468181818181818
2007-06-01,4381.0576190476190476
2007-07-01,4350.5371428571428571
2007-08-01,4123.5952173913043478
2007-09-01,4233.5857894736842105
2007-10-01,4325.6391304347826087
2007-11-01,4040.6642857142857143
2007-12-01,4079.1905000000000000
2008-01-01,3820.8404761904761905
2008-02-01,3809.0970000000000000
2008-03-01,3681.1135000000000000
2008-04-01,3835.7413636363636364
2008-05-01,3914.6985714285714286
2008-06-01,3698.7776190476190476
2008-07-01,3455.3036363636363636
2008-08-01,3553.7247619047619048
2008-09-01,3450.6695238095238095
2008-10-01,2744.2413043478260870
2008-11-01,2484.2726315789473684
2008-12-01,2490.6731818181818182
2009-01-01,2421.8940000000000000
2009-02-01,2183.1710526315789474
2009-03-01,2022.0622727272727273
