DATE,WILLLRGCAPVAL
1992-03-01,6997.3000000000000000
1992-04-01,7328.3300000000000000
1992-05-01,7346.6400000000000000
1992-06-01,7309.0900000000000000
1992-07-01,7586.3200000000000000
1992-08-01,7403.2500000000000000
1992-09-01,7462.7300000000000000
1992-10-01,7445.9300000000000000
1992-11-01,7651.3300000000000000
1992-12-01,7824.7400000000000000
1993-01-01,8008.0700000000000000
1993-02-01,8301.0300000000000000
1993-03-01,8528.6200000000000000
1993-04-01,8441.6700000000000000
1993-05-01,8451.7400000000000000
1993-06-01,8575.7900000000000000
1993-07-01,8676.4100000000000000
1993-08-01,9009.8500000000000000
1993-09-01,9018.1300000000000000
1993-10-01,9085.6200000000000000
1993-11-01,8889.2800000000000000
1993-12-01,9048.4700000000000000
1994-01-01,9358.4100000000000000
1994-02-01,9031.7700000000000000
1994-03-01,8679.5600000000000000
1994-04-01,8845.5000000000000000
1994-05-01,8931.2200000000000000
1994-06-01,8736.6400000000000000
1994-07-01,9046.8300000000000000
1994-08-01,9298.1200000000000000
1994-09-01,9041.7400000000000000
1994-10-01,9165.3400000000000000
1994-11-01,8761.2900000000000000
1994-12-01,8870.8100000000000000
1995-01-01,9088.3300000000000000
1995-02-01,9480.3100000000000000
1995-03-01,9707.7100000000000000
1995-04-01,9963.8700000000000000
1995-05-01,10344.4800000000000000
1995-06-01,10448.2300000000000000
1995-07-01,10800.8100000000000000
1995-08-01,10925.6900000000000000
1995-09-01,11260.0400000000000000
1995-10-01,11140.9000000000000000
1995-11-01,11710.6100000000000000
1995-12-01,12006.4500000000000000
1996-01-01,12350.5200000000000000
1996-02-01,12488.2800000000000000
1996-03-01,12711.4200000000000000
1996-04-01,12837.8200000000000000
1996-05-01,12977.3300000000000000
1996-06-01,12965.7900000000000000
1996-07-01,12457.6000000000000000
1996-08-01,12789.4200000000000000
1996-09-01,13297.5100000000000000
1996-10-01,13733.5500000000000000
1996-11-01,14667.7200000000000000
1996-12-01,14490.5100000000000000
1997-01-01,15128.4800000000000000
1997-02-01,15362.4400000000000000
1997-03-01,14786.1800000000000000
1997-04-01,15296.2500000000000000
1997-05-01,16230.1700000000000000
1997-06-01,16859.4300000000000000
1997-07-01,17926.1300000000000000
1997-08-01,17180.6400000000000000
1997-09-01,18195.5400000000000000
1997-10-01,17777.1700000000000000
1997-11-01,18734.8400000000000000
1997-12-01,19142.1000000000000000
1998-01-01,19061.8500000000000000
1998-02-01,20033.070000000000
1998-03-01,21145.640000000000
1998-04-01,21065.820000000000
1998-05-01,20660.750000000000
1998-06-01,21040.860000000000
1998-07-01,20573.740000000000
1998-08-01,18120.9800000000000000
1998-09-01,19383.6600000000000000
1998-10-01,20712.940000000000
1998-11-01,21677.000000000000
1998-12-01,22572.230000000000
1999-01-01,22559.114736842105
1999-02-01,22172.952631578947
1999-03-01,22701.360000000000
1999-04-01,23556.481428571429
1999-05-01,24188.328500000000
1999-06-01,23907.878181818182
1999-07-01,24510.193333333333
1999-08-01,23606.350000000000
1999-09-01,22940.633809523810
1999-10-01,22575.609523809524
1999-11-01,23838.596666666667
1999-12-01,23526.800909090909
2000-01-01,23323.517500000000
2000-02-01,22351.874000000000
2000-03-01,22923.446956521739
2000-04-01,23704.054210526316
2000-05-01,23452.838636363636
2000-06-01,23816.882727272727
2000-07-01,23562.413000000000
2000-08-01,24011.344347826087
2000-09-01,24073.279000000000
2000-10-01,23856.928636363636
2000-11-01,24526.326190476190
2000-12-01,24678.792000000000
2001-01-01,24861.147142857143
2001-02-01,24992.460526315789
2001-03-01,23829.458636363636
2001-04-01,23925.800500000000
2001-05-01,25122.204090909091
2001-06-01,24761.156666666667
2001-07-01,24592.897142857143
2001-08-01,24553.373043478261
2001-09-01,22513.970000000000
2001-10-01,22722.049565217391
2001-11-01,23326.317142857143
2001-12-01,23655.032000000000
2002-01-01,23820.522380952381
2002-02-01,23748.643684210526
2002-03-01,25201.955000000000
2002-04-01,24913.148636363636
2002-05-01,24716.988636363636
2002-06-01,23509.242000000000
2002-07-01,20978.178636363636
2002-08-01,21032.654090909091
2002-09-01,20047.213500000000
2002-10-01,19465.216086956522
2002-11-01,20628.437500000000
2002-12-01,20660.879523809524
2003-01-01,20652.839523809524
2003-02-01,19423.253157894737
2003-03-01,19384.726666666667
2003-04-01,20197.334285714286
2003-05-01,21560.630476190476
2003-06-01,23048.709523809524
2003-07-01,23075.041818181818
2003-08-01,23158.769523809524
2003-09-01,23784.389523809524
2003-10-01,24420.844782608696
2003-11-01,24898.827894736842
2003-12-01,25789.418636363636
2004-01-01,27089.893500000000
2004-02-01,27345.698947368421
2004-03-01,27079.366956521739
2004-04-01,27189.177142857143
2004-05-01,26438.529500000000
2004-06-01,27178.329523809524
2004-07-01,26755.521428571429
2004-08-01,26585.113181818182
2004-09-01,27390.795714285714
2004-10-01,27603.955238095238
2004-11-01,28982.780476190476
2004-12-01,29823.510909090909
2005-01-01,29485.844500000000
2005-02-01,30294.136842105263
2005-03-01,30440.156818181818
2005-04-01,29890.237619047619
2005-05-01,30307.568571428571
2005-06-01,30927.927727272727
2005-07-01,31289.918500000000
2005-08-01,31243.585652173913
2005-09-01,31416.850952380952
2005-10-01,30416.791428571429
2005-11-01,31547.164285714286
2005-12-01,32201.213333333333
2006-01-01,32746.183500000000
2006-02-01,32898.474210526316
2006-03-01,33528.110434782609
2006-04-01,33867.723157894737
2006-05-01,33952.881818181818
2006-06-01,33171.870909090909
2006-07-01,33884.423500000000
2006-08-01,34911.629565217391
2006-09-01,35664.786000000000
2006-10-01,36959.548636363636
2006-11-01,37707.021428571429
2006-12-01,38682.569000000000
2007-01-01,38970.988500000000
2007-02-01,39720.033157894737
2007-03-01,38793.591818181818
2007-04-01,40413.588500000000
2007-05-01,41936.856363636364
2007-06-01,41898.480000000000
2007-07-01,41901.450476190476
2007-08-01,40023.082173913043
2007-09-01,41185.151578947368
2007-10-01,42062.553043478261
2007-11-01,39477.466190476190
2007-12-01,40004.804000000000
2008-01-01,37627.141904761905
2008-02-01,37120.847500000000
2008-03-01,35941.715000000000
2008-04-01,37275.348181818182
2008-05-01,37833.880476190476
2008-06-01,35508.084285714286
2008-07-01,33482.130000000000
2008-08-01,34055.455238095238
2008-09-01,32969.185238095238
2008-10-01,26738.561304347826
2008-11-01,24407.021578947368
2008-12-01,24425.122727272727
2009-01-01,23629.766000000000
2009-02-01,21470.669473684211
2009-03-01,20182.360454545455
2009-04-01,22540.665238095238
2009-05-01,24114.522500000000
2009-06-01,24612.380454545455
2009-07-01,24885.730909090909
2009-08-01,27013.528571428571
2009-09-01,27820.307142857143
2009-10-01,28427.839545454545
2009-11-01,28958.802000000000
2009-12-01,29504.509545454545
2010-01-01,29831.637368421053
2010-02-01,29072.953684210526
2010-03-01,30788.683913043478
2010-04-01,32127.786666666667
2010-05-01,30402.431500000000
2010-06-01,29365.604090909091
2010-07-01,29453.611428571429
2010-08-01,29793.347272727273
2010-09-01,30726.289523809524
2010-10-01,31798.090952380952
2010-11-01,32390.705714285714
2010-12-01,33680.114545454545
2011-01-01,34908.503000000000
2011-02-01,35988.130000000000
2011-03-01,35722.146521739130
2011-04-01,36594.073500000000
2011-05-01,36970.989523809524
2011-06-01,35705.016818181818
2011-07-01,36437.379500000000
2011-08-01,32666.743913043478
2011-09-01,32414.523809523810
2011-10-01,33448.017142857143
