DATE,WILL5000INDFC
1985-01-01,3.8086363636363636
1985-02-01,4.0626315789473684
1985-03-01,4.0376190476190476
1985-04-01,4.0747619047619048
1985-05-01,4.1881818181818182
1985-06-01,4.2985000000000000
1985-07-01,4.4054545454545455
1985-08-01,4.3331818181818182
1985-09-01,4.2463157894736842
1985-10-01,4.2795652173913043
1985-11-01,4.5570000000000000
1985-12-01,4.7928571428571429
1986-01-01,4.8518181818181818
1986-02-01,5.1252631578947368
1986-03-01,5.4395000000000000
1986-04-01,5.5977272727272727
1986-05-01,5.6314285714285714
1986-06-01,5.7880952380952381
1986-07-01,5.6736363636363636
1986-08-01,5.7538095238095238
1986-09-01,5.5919047619047619
1986-10-01,5.5839130434782609
1986-11-01,5.7500000000000000
1986-12-01,5.8018181818181818
1987-01-01,6.2023809523809524
