DATE,SFTPAGRM158SFRBSF
2016-04-01,0.01634
2016-05-01,0.07668
2016-06-01,0.13603
2016-07-01,0.13865
2016-08-01,0.09542
2016-09-01,0.08142
2016-10-01,0.1072
2016-11-01,0.12113
2016-12-01,0.08467
2017-01-01,0.02101
2017-02-01,0.00224
2017-03-01,0.06022
2017-04-01,0.1355
2017-05-01,0.14267
2017-06-01,0.10442
2017-07-01,0.08136
2017-08-01,0.12011
2017-09-01,0.17336
2017-10-01,0.18943
2017-11-01,0.16803
2017-12-01,0.12292
2018-01-01,0.08391
2018-02-01,0.08572
2018-03-01,0.10197
2018-04-01,0.1059
