DATE,CCUSMA02CAM659N
1974-11-01,-1.17886122882652
1974-12-01,-1.13727486653946
1975-01-01,0.310224385744137
1975-02-01,2.4752424229875
1975-03-01,2.92495360566558
1975-04-01,4.52789430166826
1975-05-01,6.88970464038655
1975-06-01,6.19097079500853
1975-07-01,5.6710336974061
1975-08-01,5.65902179647123
1975-09-01,4.0814762764509
1975-10-01,4.25744742146534
1975-11-01,2.73401977835319
1975-12-01,2.62503586418871
1976-01-01,1.27141568143973
1976-02-01,-0.700140713399694
1976-03-01,-1.4516069368799
1976-04-01,-2.75226178927738
1976-05-01,-4.7144981810484
1976-06-01,-5.11114310771247
1976-07-01,-5.68873890009026
1976-08-01,-4.8071961048024
1976-09-01,-5.03067625735956
1976-10-01,-5.10299653396098
1976-11-01,-2.84034635890397
1976-12-01,0.484461111740313
