DATE,VXOCLS
2000-07-01,22.6600000000000000
2000-08-01,20.4843478260869565
2000-09-01,22.3365000000000000
2000-10-01,28.0100000000000000
2000-11-01,29.2119047619047619
2000-12-01,30.1045000000000000
2001-01-01,27.7823809523809524
2001-02-01,26.1594736842105263
2001-03-01,32.4231818181818182
2001-04-01,32.2450000000000000
2001-05-01,26.0950000000000000
2001-06-01,23.3004761904761905
2001-07-01,24.8590476190476190
2001-08-01,24.2126086956521739
2001-09-01,38.5513333333333333
2001-10-01,34.4469565217391304
2001-11-01,28.2542857142857143
2001-12-01,24.4795000000000000
2002-01-01,23.6152380952380952
2002-02-01,24.6684210526315789
2002-03-01,21.1031578947368421
2002-04-01,21.8145454545454545
2002-05-01,22.6300000000000000
2002-06-01,28.5990000000000000
2002-07-01,38.4972727272727273
2002-08-01,37.2527272727272727
2002-09-01,41.6560000000000000
2002-10-01,41.3973913043478261
2002-11-01,32.0050000000000000
2002-12-01,31.8309523809523810
2003-01-01,30.6685714285714286
2003-02-01,36.5405263157894737
2003-03-01,35.1947619047619048
2003-04-01,27.1423809523809524
2003-05-01,22.5485714285714286
2003-06-01,22.3490476190476190
2003-07-01,21.2068181818181818
2003-08-01,20.8290476190476190
2003-09-01,20.6823809523809524
2003-10-01,19.1843478260869565
2003-11-01,17.8389473684210526
2003-12-01,16.3754545454545455
2004-01-01,15.8340000000000000
2004-02-01,15.9247368421052632
2004-03-01,17.7330434782608696
2004-04-01,15.7880952380952381
2004-05-01,18.0760000000000000
2004-06-01,15.0452380952380952
2004-07-01,15.6685714285714286
2004-08-01,16.5927272727272727
2004-09-01,13.8804761904761905
2004-10-01,15.1847619047619048
2004-11-01,14.0500000000000000
2004-12-01,13.0140909090909091
2005-01-01,13.5120000000000000
2005-02-01,11.5626315789473684
2005-03-01,12.8804545454545455
2005-04-01,14.0571428571428571
2005-05-01,13.1790476190476190
2005-06-01,11.2418181818181818
2005-07-01,10.4890000000000000
2005-08-01,11.9852173913043478
2005-09-01,11.9590476190476190
2005-10-01,14.5823809523809524
2005-11-01,11.6061904761904762
2005-12-01,10.9238095238095238
2006-01-01,11.7115000000000000
2006-02-01,11.8673684210526316
2006-03-01,11.1908695652173913
2006-04-01,11.1636842105263158
2006-05-01,13.4881818181818182
2006-06-01,15.8913636363636364
2006-07-01,14.5220000000000000
2006-08-01,12.5604347826086957
2006-09-01,11.3970000000000000
2006-10-01,10.7972727272727273
2006-11-01,10.4842857142857143
2006-12-01,10.4990000000000000
2007-01-01,10.6270000000000000
2007-02-01,10.9205263157894737
2007-03-01,14.9213636363636364
2007-04-01,12.2460000000000000
2007-05-01,12.9650000000000000
2007-06-01,14.8819047619047619
2007-07-01,17.2476190476190476
2007-08-01,25.1200000000000000
2007-09-01,22.1821052631578947
2007-10-01,18.8595652173913043
2007-11-01,26.6571428571428571
2007-12-01,23.0965000000000000
2008-01-01,27.9895238095238095
2008-02-01,27.1565000000000000
2008-03-01,29.0090000000000000
2008-04-01,22.5268181818181818
2008-05-01,18.7919047619047619
2008-06-01,23.1914285714285714
2008-07-01,25.6622727272727273
2008-08-01,22.2595238095238095
2008-09-01,33.2114285714285714
2008-10-01,65.4465217391304348
2008-11-01,65.4268421052631579
2008-12-01,55.0290909090909091
2009-01-01,44.2915000000000000
2009-02-01,45.3894736842105263
2009-03-01,46.0904545454545455
2009-04-01,38.8985714285714286
2009-05-01,32.1100000000000000
2009-06-01,27.9354545454545455
2009-07-01,25.9245454545454545
2009-08-01,24.3061904761904762
2009-09-01,23.8576190476190476
2009-10-01,23.2504545454545455
2009-11-01,22.5700000000000000
2009-12-01,19.8454545454545455
2010-01-01,19.5273684210526316
2010-02-01,21.7710526315789474
2010-03-01,16.9252173913043478
2010-04-01,16.1366666666666667
2010-05-01,30.0335000000000000
2010-06-01,28.9409090909090909
2010-07-01,25.0166666666666667
2010-08-01,24.1559090909090909
2010-09-01,21.3223809523809524
2010-10-01,19.8609523809523810
2010-11-01,19.3952380952380952
2010-12-01,16.5868181818181818
2011-01-01,15.7230000000000000
2011-02-01,15.7200000000000000
2011-03-01,19.8934782608695652
2011-04-01,15.2080000000000000
2011-05-01,16.2938095238095238
2011-06-01,18.9186363636363636
2011-07-01,18.7405000000000000
2011-08-01,35.0686956521739130
2011-09-01,36.6438095238095238
2011-10-01,32.0085714285714286
2011-11-01,31.4123809523809524
2011-12-01,25.0395238095238095
2012-01-01,18.9415000000000000
2012-02-01,16.6910000000000000
2012-03-01,14.9627272727272727
2012-04-01,17.1770000000000000
2012-05-01,20.5472727272727273
2012-06-01,20.7504761904761905
2012-07-01,16.9547619047619048
2012-08-01,14.9691304347826087
2012-09-01,14.3142105263157895
2012-10-01,15.4690476190476190
2012-11-01,17.1557142857142857
2012-12-01,17.3510000000000000
2013-01-01,13.1219047619047619
2013-02-01,13.5121052631578947
2013-03-01,12.3915000000000000
2013-04-01,13.2513636363636364
2013-05-01,12.9140909090909091
2013-06-01,17.1560000000000000
2013-07-01,13.6268181818181818
2013-08-01,13.8636363636363636
2013-09-01,14.2915000000000000
2013-10-01,14.3230434782608696
2013-11-01,11.9565000000000000
2013-12-01,12.9952380952380952
2014-01-01,13.0571428571428571
2014-02-01,14.1794736842105263
2014-03-01,13.5923809523809524
2014-04-01,13.4852380952380952
2014-05-01,11.7614285714285714
2014-06-01,10.2985714285714286
2014-07-01,10.6386363636363636
2014-08-01,12.4147619047619048
2014-09-01,11.9119047619047619
2014-10-01,16.9113043478260870
2014-11-01,12.2436842105263158
2014-12-01,14.9068181818181818
2015-01-01,17.9875000000000000
2015-02-01,15.3210526315789474
2015-03-01,15.0168181818181818
2015-04-01,13.7585714285714286
2015-05-01,13.6325000000000000
2015-06-01,14.8309090909090909
2015-07-01,14.5509090909090909
2015-08-01,19.5880952380952381
2015-09-01,24.6042857142857143
2015-10-01,16.9772727272727273
2015-11-01,16.0080000000000000
2015-12-01,18.3045454545454545
2016-01-01,24.3310526315789474
2016-02-01,24.1090000000000000
