DATE,USD12MD156N
2000-07-01,7.0894642857142857
2000-08-01,6.9820750000000000
2000-09-01,6.8379166666666667
2000-10-01,6.7378981818181818
2000-11-01,6.6815913636363636
2000-12-01,6.2374021052631579
2001-01-01,5.4125854545454545
2001-02-01,5.1511875000000000
2001-03-01,4.7667618181818182
2001-04-01,4.4980594736842105
2001-05-01,4.2848514285714286
2001-06-01,4.0522323809523810
2001-07-01,4.0008809090909091
2001-08-01,3.7128700000000000
2001-09-01,3.1139380000000000
2001-10-01,2.5022556521739130
2001-11-01,2.3763640909090909
2001-12-01,2.4167436842105263
2002-01-01,2.3553127272727273
2002-02-01,2.4456565000000000
2002-03-01,2.8477815000000000
2002-04-01,2.7934823809523810
2002-05-01,2.6487500000000000
2002-06-01,2.4192022222222222
2002-07-01,2.1433426086956522
2002-08-01,1.8811019047619048
2002-09-01,1.8729180952380952
2002-10-01,1.8115769565217391
2002-11-01,1.6294057142857143
2002-12-01,1.5773450000000000
2003-01-01,1.4818186363636364
2003-02-01,1.4111875000000000
2003-03-01,1.3311461904761905
2003-04-01,1.3613755000000000
2003-05-01,1.2453440000000000
2003-06-01,1.0944347619047619
2003-07-01,1.2011691304347826
2003-08-01,1.4074375000000000
2003-09-01,1.3524722727272727
2003-10-01,1.4034243478260870
2003-11-01,1.5068755000000000
2003-12-01,1.4959528571428571
2004-01-01,1.4069647619047619
2004-02-01,1.4021565000000000
2004-03-01,1.3251365217391304
2004-04-01,1.6152500000000000
2004-05-01,2.0238489473684211
2004-06-01,2.3485518181818182
2004-07-01,2.3322159090909091
2004-08-01,2.2858633333333333
2004-09-01,2.3671022727272727
2004-10-01,2.4691966666666667
2004-11-01,2.8038636363636364
2004-12-01,3.0151490476190476
2005-01-01,3.2188445000000000
2005-02-01,3.3780940000000000
2005-03-01,3.6843452380952381
2005-04-01,3.7255361904761905
2005-05-01,3.7528635000000000
2005-06-01,3.8135236363636364
2005-07-01,4.0512100000000000
2005-08-01,4.2673018181818182
2005-09-01,4.2062513636363636
2005-10-01,4.5737990476190476
2005-11-01,4.7826322727272727
2005-12-01,4.8357200000000000
2006-01-01,4.8426680952380952
2006-02-01,5.0783140000000000
2006-03-01,5.1867021739130435
2006-04-01,5.3288566666666667
2006-05-01,5.4022666666666667
2006-06-01,5.5984172727272727
2006-07-01,5.6612109523809524
2006-08-01,5.4950863636363636
2006-09-01,5.3777100000000000
2006-10-01,5.3593200000000000
2006-11-01,5.3035527272727273
2006-12-01,5.2384231578947368
2007-01-01,5.3712522727272727
2007-02-01,5.3817370000000000
2007-03-01,5.2010263636363636
2007-04-01,5.2805447368421053
2007-05-01,5.3338014285714286
2007-06-01,5.4478109523809524
2007-07-01,5.3832118181818182
2007-08-01,5.1853700000000000
2007-09-01,5.0618445000000000
