DATE,RUMIDCAPTR
1993-06-01,1027.5900000000000000
1993-07-01,1032.5400000000000000
1993-08-01,1078.4600000000000000
1993-09-01,1082.5900000000000000
1993-10-01,1083.4900000000000000
1993-11-01,1058.3600000000000000
1993-12-01,1096.6900000000000000
1994-01-01,1126.9500000000000000
1994-02-01,1111.6200000000000000
1994-03-01,1064.2700000000000000
1994-04-01,1071.5700000000000000
1994-05-01,1073.0300000000000000
1994-06-01,1041.2500000000000000
1994-07-01,1076.9900000000000000
1994-08-01,1128.0500000000000000
1994-09-01,1100.4800000000000000
1994-10-01,1108.9000000000000000
1994-11-01,1059.9800000000000000
1994-12-01,1073.7400000000000000
1995-01-01,1095.8000000000000000
1995-02-01,1152.5200000000000000
1995-03-01,1185.5000000000000000
1995-04-01,1203.3800000000000000
1995-05-01,1242.9200000000000000
1995-06-01,1268.5140909090909091
1995-07-01,1324.3020000000000000
1995-08-01,1349.8143478260869565
1995-09-01,1399.6220000000000000
1995-10-01,1379.5690909090909091
1995-11-01,1403.8285714285714286
1995-12-01,1430.0540000000000000
1996-01-01,1424.7363636363636364
1996-02-01,1512.2580000000000000
1996-03-01,1522.5933333333333333
1996-04-01,1542.2780952380952381
1996-05-01,1589.0027272727272727
1996-06-01,1579.8100000000000000
1996-07-01,1498.9945454545454545
1996-08-01,1543.7236363636363636
1996-09-01,1586.4265000000000000
1996-10-01,1638.7917391304347826
1996-11-01,1697.3315000000000000
1996-12-01,1712.4466666666666667
1997-01-01,1759.2931818181818182
1997-02-01,1792.4094736842105263
1997-03-01,1781.5860000000000000
1997-04-01,1702.7881818181818182
1997-05-01,1828.3976190476190476
1997-06-01,1918.9100000000000000
1997-07-01,2025.7295454545454545
1997-08-01,2081.8619047619047619
1997-09-01,2155.7995238095238095
1997-10-01,2192.2830434782608696
1997-11-01,2138.5668421052631579
1997-12-01,2167.4521739130434783
1998-01-01,2154.2470000000000000
1998-02-01,2282.5026315789473684
1998-03-01,2409.0236363636363636
1998-04-01,2466.0490476190476190
1998-05-01,2432.4700000000000000
1998-06-01,2381.2054545454545455
1998-07-01,2414.1631818181818182
1998-08-01,2201.3604761904761905
1998-09-01,2057.8085714285714286
1998-10-01,2048.4922727272727273
1998-11-01,2296.3690000000000000
1998-12-01,2332.5845454545454545
1999-01-01,2443.6930000000000000
1999-02-01,2373.9875000000000000
1999-03-01,2418.1269565217391304
1999-04-01,2539.6700000000000000
1999-05-01,2633.8090476190476190
1999-06-01,2634.8950000000000000
1999-07-01,2695.1818181818181818
1999-08-01,2578.6750000000000000
1999-09-01,2537.4209523809523810
1999-10-01,2476.4990909090909091
1999-11-01,2661.8447619047619048
1999-12-01,2746.0581818181818182
2000-01-01,2849.5915000000000000
2000-02-01,2905.3720000000000000
2000-03-01,3116.0417391304347826
2000-04-01,2962.9230000000000000
2000-05-01,2931.9163636363636364
2000-06-01,3093.0631818181818182
2000-07-01,3112.3280000000000000
2000-08-01,3155.4734782608695652
2000-09-01,3246.9366666666666667
2000-10-01,3078.1877272727272727
2000-11-01,3082.6157142857142857
2000-12-01,3042.2915000000000000
2001-01-01,3072.2980952380952381
2001-02-01,3082.4473684210526316
2001-03-01,2871.5204545454545455
2001-04-01,2861.1095000000000000
2001-05-01,3083.4827272727272727
2001-06-01,3047.6995238095238095
2001-07-01,2962.6852380952380952
2001-08-01,2917.7800000000000000
2001-09-01,2610.1863157894736842
2001-10-01,2621.6856521739130435
2001-11-01,2781.4490476190476190
2001-12-01,2901.6565000000000000
2002-01-01,2919.3738095238095238
2002-02-01,2872.5710526315789474
2002-03-01,3049.7770000000000000
2002-04-01,3039.8313636363636364
2002-05-01,3002.8600000000000000
2002-06-01,2834.8730000000000000
2002-07-01,2506.1618181818181818
2002-08-01,2502.4450000000000000
2002-09-01,2408.3120000000000000
2002-10-01,2317.4365217391304348
