DATE,WILLMIDCAP
1992-04-01,8299.7500000000000000
1992-05-01,8310.2200000000000000
1992-06-01,8075.8900000000000000
1992-07-01,8380.2800000000000000
1992-08-01,8134.0300000000000000
1992-09-01,8274.7800000000000000
1992-10-01,8506.9300000000000000
1992-11-01,8949.3500000000000000
1992-12-01,9278.3100000000000000
1993-01-01,9477.6000000000000000
1993-02-01,9397.6200000000000000
1993-03-01,9771.1400000000000000
1993-04-01,9515.9800000000000000
1993-05-01,9827.7300000000000000
1993-06-01,9937.0300000000000000
1993-07-01,9983.8300000000000000
1993-08-01,10500.2000000000000000
1993-09-01,10576.8300000000000000
1993-10-01,10643.1800000000000000
1993-11-01,10307.2000000000000000
1993-12-01,10738.0500000000000000
1994-01-01,11016.7600000000000000
1994-02-01,10927.5000000000000000
1994-03-01,10433.9500000000000000
1994-04-01,10528.7400000000000000
1994-05-01,10422.6400000000000000
1994-06-01,10152.0600000000000000
1994-07-01,10477.5000000000000000
1994-08-01,11048.5800000000000000
1994-09-01,10841.3000000000000000
1994-10-01,10901.1100000000000000
1994-11-01,10325.9800000000000000
1994-12-01,10502.8300000000000000
1995-01-01,10603.1300000000000000
1995-02-01,11184.9300000000000000
1995-03-01,11537.4400000000000000
1995-04-01,11686.3400000000000000
1995-05-01,11978.6400000000000000
1995-06-01,12490.3300000000000000
1995-07-01,13258.0600000000000000
1995-08-01,13429.3500000000000000
1995-09-01,13737.9500000000000000
1995-10-01,13414.1100000000000000
1995-11-01,14012.5800000000000000
1995-12-01,14097.4500000000000000
1996-01-01,14269.0100000000000000
1996-02-01,14663.0500000000000000
1996-03-01,14956.0200000000000000
1996-04-01,15564.1600000000000000
1996-05-01,15918.3200000000000000
1996-06-01,15444.2000000000000000
1996-07-01,14477.6800000000000000
1996-08-01,15313.6700000000000000
1996-09-01,16049.6600000000000000
1996-10-01,16086.1800000000000000
1996-11-01,16944.3800000000000000
1996-12-01,16955.5000000000000000
1997-01-01,17482.8900000000000000
1997-02-01,17294.6900000000000000
1997-03-01,16492.8200000000000000
1997-04-01,16773.7200000000000000
1997-05-01,18098.0600000000000000
1997-06-01,18909.4000000000000000
1997-07-01,20299.130000000000
1997-08-01,20342.230000000000
1997-09-01,21548.860000000000
1997-10-01,20602.700000000000
1997-11-01,20904.320000000000
1997-12-01,21393.330000000000
1998-01-01,21049.890000000000
1998-02-01,22693.480000000000
1998-03-01,23749.250000000000
1998-04-01,23853.130000000000
1998-05-01,22912.410000000000
1998-06-01,23118.950000000000
1998-07-01,21842.830000000000
1998-08-01,17819.2700000000000000
1998-09-01,19062.9100000000000000
1998-10-01,20271.100000000000
1998-11-01,21080.460000000000
1998-12-01,22326.000000000000
1999-01-01,22211.871052631579
1999-02-01,21341.439473684211
1999-03-01,21403.479565217391
1999-04-01,22464.743809523810
1999-05-01,23756.253500000000
1999-06-01,23760.103181818182
1999-07-01,24722.556190476190
1999-08-01,23687.713636363636
1999-09-01,23626.780476190476
1999-10-01,23126.339523809524
1999-11-01,25423.833333333333
1999-12-01,26928.200000000000
2000-01-01,28457.980500000000
2000-02-01,29820.937000000000
2000-03-01,32617.130000000000
2000-04-01,28528.512631578947
2000-05-01,28541.214090909091
2000-06-01,29726.823181818182
2000-07-01,30095.671500000000
2000-08-01,30074.383478260870
2000-09-01,30508.704500000000
2000-10-01,28332.259545454545
2000-11-01,28007.248571428571
2000-12-01,27494.966500000000
2001-01-01,27850.367142857143
2001-02-01,28007.178421052632
2001-03-01,25903.324090909091
2001-04-01,25968.989500000000
2001-05-01,28413.600909090909
2001-06-01,28177.758095238095
2001-07-01,27623.392380952381
2001-08-01,27281.365652173913
2001-09-01,24118.541333333333
2001-10-01,24505.589565217391
2001-11-01,25995.919523809524
2001-12-01,27294.087000000000
