DATE,CCRETT01CAM661N
2000-12-01,75.0899061
2001-01-01,75.46243879
2001-02-01,74.74254518
2001-03-01,73.57297928
2001-04-01,74.12338507
2001-05-01,75.29937664
2001-06-01,76.37236545
2001-07-01,76.18509849
2001-08-01,75.04994058
2001-09-01,73.51743398
2001-10-01,73.3084313
2001-11-01,71.92281858
2001-12-01,72.92673591
2002-01-01,72.24920914
2002-02-01,72.72829934
2002-03-01,73.23845383
2002-04-01,73.47375537
2002-05-01,74.69057072
2002-06-01,75.40120304
2002-07-01,74.58396668
2002-08-01,73.81840392
2002-09-01,73.5603138
2002-10-01,73.74794216
2002-11-01,73.88367918
2002-12-01,74.11074275
2003-01-01,74.96370265
2003-02-01,76.58194944
2003-03-01,78.34516986
2003-04-01,78.60250551
2003-05-01,82.05631696
2003-06-01,83.93721394
2003-07-01,82.5163054
2003-08-01,81.9571651
2003-09-01,83.43870259
2003-10-01,85.11127879
2003-11-01,86.13010659
2003-12-01,85.6170361
2004-01-01,85.82810414
2004-02-01,83.51803061
2004-03-01,83.86567071
2004-04-01,83.16026549
2004-05-01,81.80305397
2004-06-01,82.58581184
2004-07-01,84.6661993
2004-08-01,85.12342869
2004-09-01,86.68708715
2004-10-01,88.84720233
2004-11-01,92.1015641
2004-12-01,89.77667997
2005-01-01,89.31381588
2005-02-01,88.22477705
2005-03-01,89.72432159
2005-04-01,88.33388557
2005-05-01,87.33713613
2005-06-01,89.04987289
2005-07-01,90.16391158
2005-08-01,91.33103299
2005-09-01,93.49964868
2005-10-01,93.34824154
2005-11-01,93.73333242
2005-12-01,95.1555103
2006-01-01,94.889029
2006-02-01,95.37620033
2006-03-01,94.90113767
2006-04-01,95.6522945
2006-05-01,97.86954631
2006-06-01,97.79153398
2006-07-01,96.17123626
2006-08-01,96.72008136
2006-09-01,96.75906587
2006-10-01,95.90419086
2006-11-01,94.9134482
2006-12-01,92.94361539
2007-01-01,91.31343228
2007-02-01,91.80813652
2007-03-01,91.91798545
2007-04-01,94.13769151
2007-05-01,97.51259339
2007-06-01,99.88284231
2007-07-01,100.6583426
2007-08-01,99.85538301
2007-09-01,102.3245175
2007-10-01,106.2275941
2007-11-01,106.0326437
2007-12-01,102.5497498
2008-01-01,100.5517041
2008-02-01,101.2121799
2008-03-01,99.38691603
2008-04-01,98.09213411
2008-05-01,100.3932612
2008-06-01,98.69094438
2008-07-01,98.31864904
2008-08-01,95.85198476
2008-09-01,96.8245126
2008-10-01,88.84371828
2008-11-01,87.92378172
2008-12-01,85.95866265
2009-01-01,86.62365128
2009-02-01,86.8922361
2009-03-01,85.59119888
2009-04-01,87.03379812
2009-05-01,91.82171251
2009-06-01,93.14571581
2009-07-01,92.90247379
2009-08-01,95.21733881
2009-09-01,95.20539124
2009-10-01,96.77583484
2009-11-01,96.40115577
2009-12-01,96.75760574
2010-01-01,97.93577411
2010-02-01,97.58018027
2010-03-01,100.372627
2010-04-01,102.202331
2010-05-01,100.3532061
2010-06-01,100.9846043
2010-07-01,99.90558933
2010-08-01,99.39448296
2010-09-01,99.67513317
2010-10-01,99.77968774
2010-11-01,100.543255
2010-12-01,101.273129
2011-01-01,101.886026
2011-02-01,101.7890638
2011-03-01,102.9180829
2011-04-01,103.9155022
2011-05-01,103.1238137
2011-06-01,101.4321207
2011-07-01,103.5669129
2011-08-01,100.9386709
2011-09-01,100.4264863
2011-10-01,99.12954083
2011-11-01,99.11506925
2011-12-01,99.28010525
2012-01-01,100.0428965
2012-02-01,100.7880414
2012-03-01,101.3077574
2012-04-01,101.7430915
2012-05-01,100.9501799
2012-06-01,99.62512698
2012-07-01,100.7989089
2012-08-01,102.3381736
2012-09-01,102.7397129
2012-10-01,101.7140975
2012-11-01,100.9506155
2012-12-01,100.7072828
2013-01-01,100.269436
2013-02-01,99.25567909
2013-03-01,98.39457778
2013-04-01,98.62060656
2013-05-01,98.91481774
2013-06-01,97.98197996
2013-07-01,97.41455068
2013-08-01,97.06563622
2013-09-01,97.43697223
2013-10-01,96.46623769
2013-11-01,95.78912675
2013-12-01,94.1204478
2014-01-01,91.8120722
2014-02-01,91.23201683
2014-03-01,90.89295047
2014-04-01,91.7584422
2014-05-01,92.77707282
2014-06-01,93.3908857
2014-07-01,93.8960802
2014-08-01,92.6999871
2014-09-01,92.65978649
2014-10-01,91.65824221
2014-11-01,91.42852677
2014-12-01,90.40626829
2015-01-01,87.17073825
2015-02-01,85.15975291
2015-03-01,85.50898242
2015-04-01,86.85783922
2015-05-01,87.86845228
