DATE,BAMLCC0A0CMTRIV
2007-03-01,1646.146957
2007-04-01,1641.752
2007-05-01,1645.143636
2007-06-01,1619.488182
2007-07-01,1626.956818
2007-08-01,1637.414783
2007-09-01,1652.19619
2007-10-01,1670.488261
2007-11-01,1686.790909
2007-12-01,1677.9715
2008-01-01,1706.72
2008-02-01,1698.756667
2008-03-01,1688.3195
2008-04-01,1685.947727
2008-05-01,1695.932174
2008-06-01,1676.942857
2008-07-01,1664.563913
2008-08-01,1670.037273
2008-09-01,1631.562273
2008-10-01,1477.168696
2008-11-01,1476.85381
2008-12-01,1536.670455
2009-01-01,1588.138636
2009-02-01,1581.569524
2009-03-01,1540.550909
2009-04-01,1573.119524
2009-05-01,1637.321818
2009-06-01,1690.332727
2009-07-01,1741.476522
2009-08-01,1800.885238
2009-09-01,1843.083182
2009-10-01,1865.590435
2009-11-01,1884.53619
2009-12-01,1890.590455
2010-01-01,1913.257619
2010-02-01,1913.277143
2010-03-01,1932.602609
2010-04-01,1949.580476
2010-05-01,1967.892857
2010-06-01,1969.855909
2010-07-01,2013.766957
2010-08-01,2065.521818
2010-09-01,2077.780909
2010-10-01,2102.884091
2010-11-01,2089.729091
2010-12-01,2052.337826
2011-01-01,2065.193333
2011-02-01,2061.709
2011-03-01,2086.432609
2011-04-01,2098.341429
2011-05-01,2138.520455
2011-06-01,2148.165455
2011-07-01,2156.282727
2011-08-01,2193.306087
2011-09-01,2193.767727
2011-10-01,2178.720952
2011-11-01,2208.572727
2011-12-01,2202.707727
2012-01-01,2232.347619
2012-02-01,2270.48619
2012-03-01,2274.445217
2012-04-01,2289.2365
2012-05-01,2308.083478
2012-06-01,2320.145
2012-07-01,2368.715
2012-08-01,2382.442609
2012-09-01,2402.368095
2012-10-01,2434.832273
2012-11-01,2448.289091
2012-12-01,2446.759
2013-01-01,2444.228182
2013-02-01,2436.199
2013-03-01,2444.580952
2013-04-01,2478.866364
2013-05-01,2469.908696
2013-06-01,2396.502857
