DATE,BAMLCC8A015PYTRIV
2001-07-01,1244.398182
2001-08-01,1273.618696
2001-09-01,1259.503333
2001-10-01,1281.463913
2001-11-01,1301.486818
2001-12-01,1280.964
2002-01-01,1306.499091
2002-02-01,1310.057
2002-03-01,1287.271429
2002-04-01,1297.304545
2002-05-01,1291.504348
2002-06-01,1316.035714
2002-07-01,1297.997826
2002-08-01,1318.442609
2002-09-01,1369.125714
2002-10-01,1331.356957
2002-11-01,1377.275
2002-12-01,1412.111429
2003-01-01,1431.972273
2003-02-01,1460.2965
2003-03-01,1474.755238
2003-04-01,1492.434286
2003-05-01,1587.705217
2003-06-01,1624.35619
2003-07-01,1542.928696
2003-08-01,1481.638636
2003-09-01,1529.128182
2003-10-01,1546.213913
2003-11-01,1567.725238
2003-12-01,1593.293636
2004-01-01,1630.163636
2004-02-01,1642.177143
2004-03-01,1680.066087
2004-04-01,1615.593333
2004-05-01,1563.977619
2004-06-01,1574.229091
2004-07-01,1614.992174
2004-08-01,1653.511364
2004-09-01,1694.835
2004-10-01,1712.704091
2004-11-01,1722.363182
2004-12-01,1742.933636
2005-01-01,1775.655238
2005-02-01,1818.6895
2005-03-01,1770.559091
2005-04-01,1773.643636
2005-05-01,1794.079091
2005-06-01,1843.346364
2005-07-01,1829.005
2005-08-01,1830.344783
2005-09-01,1826.507273
2005-10-01,1783.010476
2005-11-01,1771.575909
2005-12-01,1794.219091
2006-01-01,1817.025714
2006-02-01,1814.904
2006-03-01,1790.425217
2006-04-01,1739.699
2006-05-01,1730.109565
2006-06-01,1731.87
2006-07-01,1745.204286
2006-08-01,1791.95913
2006-09-01,1834.000909
2006-10-01,1845.761364
2006-11-01,1900.195909
2006-12-01,1907.845238
2007-01-01,1888.016818
2007-02-01,1911.3535
2007-03-01,1926.413043
2007-04-01,1908.523
2007-05-01,1914.500909
2007-06-01,1853.552273
2007-07-01,1861.609545
2007-08-01,1867.454348
2007-09-01,1896.022381
2007-10-01,1933.635652
2007-11-01,1949.383182
2007-12-01,1917.5655
2008-01-01,1946.760909
2008-02-01,1898.600476
2008-03-01,1885.5145
2008-04-01,1899.023636
2008-05-01,1916.489565
2008-06-01,1885.22381
2008-07-01,1864.382609
2008-08-01,1868.419091
2008-09-01,1816.186818
2008-10-01,1568.376957
2008-11-01,1567.944286
2008-12-01,1730.631364
2009-01-01,1789.576818
2009-02-01,1750.95381
2009-03-01,1672.077273
2009-04-01,1705.424762
2009-05-01,1775.58
2009-06-01,1881.321364
2009-07-01,1958.766522
2009-08-01,2073.027619
2009-09-01,2144.870455
2009-10-01,2170.457826
2009-11-01,2177.009524
2009-12-01,2173.033636
2010-01-01,2205.370476
2010-02-01,2184.682381
2010-03-01,2218.359565
2010-04-01,2248.074762
2010-05-01,2295.582381
2010-06-01,2293.331818
2010-07-01,2369.995217
2010-08-01,2466.556818
2010-09-01,2475.560455
2010-10-01,2482.598182
2010-11-01,2434.143182
2010-12-01,2389.748696
2011-01-01,2408.801905
2011-02-01,2396.643
2011-03-01,2436.943043
2011-04-01,2459.418571
2011-05-01,2539.352727
2011-06-01,2541.990909
2011-07-01,2554.532273
2011-08-01,2667.391304
2011-09-01,2707.861818
2011-10-01,2712.89
2011-11-01,2778.782273
2011-12-01,2765.575
2012-01-01,2806.219048
2012-02-01,2857.181429
2012-03-01,2839.811304
2012-04-01,2865.9755
2012-05-01,2919.704783
2012-06-01,2958.727727
2012-07-01,3078.651818
2012-08-01,3088.657391
2012-09-01,3098.573333
2012-10-01,3172.937273
2012-11-01,3200.953182
2012-12-01,3175.7205
2013-01-01,3147.27
2013-02-01,3109.0705
2013-03-01,3110.897143
2013-04-01,3210.826818
2013-05-01,3169.55
2013-06-01,2989.17
2013-07-01,2947.826957
2013-08-01,2903.45381
2013-09-01,2896.810476
2013-10-01,2967.538696
2013-11-01,2954.530455
2013-12-01,2969.875238
2014-01-01,3049.874545
2014-02-01,3102.0305
2014-03-01,3142.917143
2014-04-01,3217.199048
2014-05-01,3297.85913
2014-06-01,3300.031905
2014-07-01,3342.060435
2014-08-01,3391.182273
2014-09-01,3364.986818
2014-10-01,3429.996957
2014-11-01,3405.852381
2014-12-01,3445.083636
2015-01-01,3596.905714
2015-02-01,3570.000476
2015-03-01,3562.158636
2015-04-01,3596.068095
2015-05-01,3421.843333
2015-06-01,3328.937273
2015-07-01,3329.24087
2015-08-01,3367.168571
2015-09-01,3334.978182
2015-10-01,3371.346087
2015-11-01,3332.932381
2015-12-01,3330.025909
2016-01-01,3315.861429
2016-02-01,3324.210476
2016-03-01,3438.150909
2016-04-01,3586.037273
2016-05-01,3623.272727
2016-06-01,3707.205
2016-07-01,3870.766364
2016-08-01,3885.763043
2016-09-01,3859.055455
2016-10-01,3833.547143
2016-11-01,3661.054545
2016-12-01,3608.830909
2017-01-01,3694.115238
2017-02-01,3700.027
2017-03-01,3693.876522
2017-04-01,3775.634
2017-05-01,3808.392609
2017-06-01,3919.156364
2017-07-01,3924.91619
2017-08-01,3972.065217
2017-09-01,3993.614545
2017-10-01,4012.347273
2017-11-01,4044.556364
2017-12-01,4100.292381
2018-01-01,4087.663636
2018-02-01,3952.9255
2018-03-01,3926.228182
2018-04-01,3930.152857
2018-05-01,3856.498261
2018-06-01,3850.172857
