DATE,SFXRNSA
2014-04-01,191.1978554
2014-05-01,194.731178
2014-06-01,195.9142632
2014-07-01,195.4940398
2014-08-01,194.5790344
2014-09-01,194.6579625
2014-10-01,196.3349742
2014-11-01,196.6707868
2014-12-01,197.4820081
2015-01-01,195.7276413
2015-02-01,200.1834023
2015-03-01,206.2776308
2015-04-01,210.861305
2015-05-01,213.6662901
2015-06-01,214.6113397
2015-07-01,215.4690072
2015-08-01,215.1243911
2015-09-01,216.2612233
2015-10-01,217.7555779
2015-11-01,218.3496548
2015-12-01,217.9139493
2016-01-01,216.4882843
2016-02-01,218.7769155
2016-03-01,223.8443973
2016-04-01,227.3153317
2016-05-01,227.4735836
2016-06-01,228.4579593
2016-07-01,228.5187469
2016-08-01,229.4484157
2016-09-01,228.5571347
2016-10-01,229.9937742
2016-11-01,230.2017563
2016-12-01,231.138904
2017-01-01,230.2045621
2017-02-01,232.729159
2017-03-01,235.1437626
2017-04-01,238.3685111
2017-05-01,240.8880302
2017-06-01,242.5004551
2017-07-01,243.768457
2017-08-01,243.4435177
2017-09-01,244.8853915
2017-10-01,247.6841672
2017-11-01,251.2135803
2017-12-01,252.6831158
2018-01-01,253.6657161
2018-02-01,256.2704279
