DATE,LFEAINTTCAM647N
2008-06-01,2412000
2008-07-01,2403800.0
2008-08-01,2419100.0
2008-09-01,2358500.0
2008-10-01,2341500.0
2008-11-01,2296400.0
2008-12-01,2272000
2009-01-01,2143500.0
2009-02-01,2117900.0
2009-03-01,2119100.0
2009-04-01,2110300.0
2009-05-01,2132100.0
2009-06-01,2143100.0
2009-07-01,2153500.0
2009-08-01,2177600.0
2009-09-01,2151400.0
2009-10-01,2142300.0
2009-11-01,2130100.0
2009-12-01,2102300.0
2010-01-01,2061500.0
2010-02-01,2079800.0000000002
2010-03-01,2054400.0
2010-04-01,2056300.0000000002
2010-05-01,2109300.0
2010-06-01,2146100.0
2010-07-01,2157400.0
2010-08-01,2151400.0
2010-09-01,2117700.0
2010-10-01,2108400.0
2010-11-01,2096500.0
2010-12-01,2111300.0
2011-01-01,2086900.0
2011-02-01,2107500.0
2011-03-01,2107500.0
2011-04-01,2124700.0
2011-05-01,2171300.0
2011-06-01,2180000
2011-07-01,2175800.0
2011-08-01,2169800.0
2011-09-01,2124600.0
2011-10-01,2107000
2011-11-01,2107200.0
2011-12-01,2111000
2012-01-01,2089100.0
2012-02-01,2105900.0
2012-03-01,2124000
2012-04-01,2137900.0
2012-05-01,2189800.0
2012-06-01,2228200.0
2012-07-01,2245700.0
2012-08-01,2262300.0
2012-09-01,2209300.0
2012-10-01,2196300.0
2012-11-01,2176600.0
2012-12-01,2151500.0
2013-01-01,2115700.0
2013-02-01,2127600.0
2013-03-01,2118200.0
2013-04-01,2125900.0
2013-05-01,2163000
2013-06-01,2174500.0
2013-07-01,2202700.0
2013-08-01,2209400.0
2013-09-01,2170300.0
2013-10-01,2163500.0
2013-11-01,2171400.0
2013-12-01,2158600.0
2014-01-01,2121000
2014-02-01,2140500.0
2014-03-01,2123500.0
2014-04-01,2136800.0
2014-05-01,2155500.0
2014-06-01,2190300.0
2014-07-01,2205400.0
2014-08-01,2187500.0
2014-09-01,2157300.0
2014-10-01,2160200.0
