DATE,RUTOP200TR
1999-05-01,2767.8119047619047619
1999-06-01,2744.6881818181818182
1999-07-01,2873.2622727272727273
1999-08-01,2763.7013636363636364
1999-09-01,2756.4952380952380952
1999-10-01,2737.8340909090909091
1999-11-01,2944.3380952380952381
1999-12-01,3039.2245454545454545
2000-01-01,3021.9655000000000000
2000-02-01,2947.3225000000000000
2000-03-01,3058.0713043478260870
2000-04-01,3122.5400000000000000
2000-05-01,3016.4363636363636364
2000-06-01,3102.7054545454545455
2000-07-01,3125.5810000000000000
2000-08-01,3154.2578260869565217
2000-09-01,3119.1895238095238095
2000-10-01,2948.1063636363636364
2000-11-01,2893.0676190476190476
2000-12-01,2779.7820000000000000
2001-01-01,2776.7876190476190476
2001-02-01,2690.4142105263157895
2001-03-01,2420.3622727272727273
2001-04-01,2428.7860000000000000
2001-05-01,2602.1645454545454545
2001-06-01,2529.9080952380952381
2001-07-01,2455.5490476190476190
2001-08-01,2401.2665217391304348
2001-09-01,2150.9494736842105263
2001-10-01,2203.6804347826086957
2001-11-01,2309.4200000000000000
2001-12-01,2331.0595000000000000
2002-01-01,2322.8166666666666667
2002-02-01,2234.9357894736842105
2002-03-01,2341.6855000000000000
2002-04-01,2242.1472727272727273
2002-05-01,2169.3100000000000000
2002-06-01,2035.3600000000000000
2002-07-01,1819.5777272727272727
2002-08-01,1853.6345454545454545
2002-09-01,1759.7250000000000000
2002-10-01,1740.5100000000000000
2002-11-01,1854.3080000000000000
2002-12-01,1829.2423809523809524
2003-01-01,1823.6876190476190476
2003-02-01,1705.2763157894736842
2003-03-01,1729.0166666666666667
2003-04-01,1820.6395238095238095
2003-05-01,1910.9361904761904762
2003-06-01,2016.2338095238095238
2003-07-01,2026.0245454545454545
2003-08-01,2015.0504761904761905
2003-09-01,2073.5590476190476190
2003-10-01,2111.1656521739130435
2003-11-01,2132.3805263157894737
2003-12-01,2198.4363636363636364
2004-01-01,2304.2755000000000000
2004-02-01,2323.6821052631578947
2004-03-01,2281.2782608695652174
2004-04-01,2300.1871428571428571
2004-05-01,2249.0685000000000000
2004-06-01,2303.8095238095238095
2004-07-01,2247.1376190476190476
2004-08-01,2218.2550000000000000
2004-09-01,2276.1723809523809524
2004-10-01,2269.8914285714285714
2004-11-01,2365.7842857142857143
2004-12-01,2427.2786363636363636
2005-01-01,2395.1260000000000000
2005-02-01,2427.8110526315789474
2005-03-01,2417.1431818181818182
2005-04-01,2363.6547619047619048
2005-05-01,2404.1390476190476190
2005-06-01,2446.6768181818181818
2005-07-01,2476.5280000000000000
2005-08-01,2483.2273913043478261
2005-09-01,2489.0166666666666667
2005-10-01,2429.3557142857142857
2005-11-01,2526.5033333333333333
2005-12-01,2573.1666666666666667
2006-01-01,2598.7265000000000000
2006-02-01,2589.8547368421052632
2006-03-01,2627.3100000000000000
2006-04-01,2641.8284210526315789
2006-05-01,2623.9913636363636364
2006-06-01,2562.2563636363636364
2006-07-01,2583.9365000000000000
2006-08-01,2650.1113043478260870
2006-09-01,2716.4355000000000000
2006-10-01,2814.0395454545454545
2006-11-01,2864.8328571428571429
2006-12-01,2927.8200000000000000
2007-01-01,2953.7705000000000000
2007-02-01,2985.3326315789473684
2007-03-01,2908.4295454545454545
2007-04-01,3026.3865000000000000
2007-05-01,3131.8854545454545455
2007-06-01,3142.6842857142857143
2007-07-01,3159.4228571428571429
2007-08-01,3041.2939130434782609
2007-09-01,3145.8042105263157895
2007-10-01,3243.1895652173913043
2007-11-01,3093.6600000000000000
2007-12-01,3133.5510000000000000
2008-01-01,2935.4595238095238095
2008-02-01,2877.6730000000000000
2008-03-01,2810.1060000000000000
2008-04-01,2917.8822727272727273
2008-05-01,2978.7676190476190476
2008-06-01,2846.8000000000000000
2008-07-01,2678.9181818181818182
2008-08-01,2732.5900000000000000
2008-09-01,2597.2623809523809524
2008-10-01,2106.0091304347826087
2008-11-01,1945.1657894736842105
2008-12-01,1936.3640909090909091
2009-01-01,1905.4375000000000000
2009-02-01,1781.6063157894736842
2009-03-01,1683.4036363636363636
2009-04-01,1871.5747619047619048
2009-05-01,1992.6295000000000000
2009-06-01,2048.4013636363636364
2009-07-01,2074.2577272727272727
2009-08-01,2227.8190476190476190
2009-09-01,2302.6185714285714286
2009-10-01,2357.7668181818181818
