DATE,WILLMICROCAP
1996-10-01,9567.6900000000000000
1996-11-01,9736.5400000000000000
1996-12-01,9994.0000000000000000
1997-01-01,10461.2300000000000000
1997-02-01,10153.4400000000000000
1997-03-01,9584.8100000000000000
1997-04-01,9204.2500000000000000
1997-05-01,10143.3700000000000000
1997-06-01,10718.6100000000000000
1997-07-01,11282.2600000000000000
1997-08-01,11777.2100000000000000
1997-09-01,12956.1400000000000000
1997-10-01,12539.6300000000000000
1997-11-01,12292.7200000000000000
1997-12-01,12194.8700000000000000
1998-01-01,12151.1100000000000000
1998-02-01,12939.2100000000000000
1998-03-01,13617.6200000000000000
1998-04-01,13921.4400000000000000
1998-05-01,13222.5500000000000000
1998-06-01,12869.2400000000000000
1998-07-01,12095.8100000000000000
1998-08-01,9527.9100000000000000
1998-09-01,10038.2700000000000000
1998-10-01,10349.4700000000000000
1998-11-01,11146.1200000000000000
1998-12-01,11469.1000000000000000
1999-01-01,11868.973684210526
1999-02-01,11510.427368421053
1999-03-01,11090.745652173913
1999-04-01,11577.725714285714
1999-05-01,12423.576000000000
1999-06-01,12555.163181818182
1999-07-01,13339.083333333333
1999-08-01,12738.772272727273
1999-09-01,12894.302857142857
1999-10-01,12546.700952380952
1999-11-01,13556.348095238095
1999-12-01,15016.364545454545
2000-01-01,16839.874000000000
2000-02-01,19027.767500000000
2000-03-01,20741.801739130435
2000-04-01,16373.117894736842
2000-05-01,15332.557272727273
2000-06-01,15870.925000000000
2000-07-01,16473.158500000000
2000-08-01,15942.053478260870
2000-09-01,16614.621000000000
2000-10-01,15116.157272727273
2000-11-01,14541.036666666667
2000-12-01,13093.972500000000
2001-01-01,14248.796190476190
2001-02-01,14629.871578947368
2001-03-01,13414.399545454545
2001-04-01,13142.527500000000
2001-05-01,14955.242272727273
2001-06-01,15477.747619047619
2001-07-01,15495.399523809524
2001-08-01,15193.704347826087
2001-09-01,13477.129333333333
2001-10-01,13702.785217391304
2001-11-01,14764.786666666667
2001-12-01,15795.781500000000
2002-01-01,16662.883333333333
2002-02-01,15945.523684210526
2002-03-01,16666.142000000000
2002-04-01,17318.471818181818
2002-05-01,17293.085909090909
2002-06-01,16482.209000000000
2002-07-01,15146.295000000000
2002-08-01,14459.975454545455
2002-09-01,14017.036000000000
2002-10-01,13356.050869565217
2002-11-01,14748.197000000000
2002-12-01,15148.637619047619
2003-01-01,15331.570952380952
2003-02-01,14761.506315789474
2003-03-01,14675.825714285714
2003-04-01,15638.784285714286
2003-05-01,17502.360476190476
2003-06-01,19635.939523809524
2003-07-01,21088.336818181818
2003-08-01,21577.987619047619
2003-09-01,23854.304285714286
2003-10-01,24981.131739130435
2003-11-01,26122.138421052632
2003-12-01,26784.248181818182
2004-01-01,29376.880500000000
2004-02-01,29597.821052631579
2004-03-01,29235.446956521739
2004-04-01,30002.633809523810
2004-05-01,27901.971500000000
2004-06-01,28557.223333333333
2004-07-01,27300.871904761905
2004-08-01,25926.612727272727
2004-09-01,27208.756190476190
2004-10-01,27684.247619047619
2004-11-01,29114.738571428571
2004-12-01,31093.733636363636
2005-01-01,30759.449500000000
2005-02-01,31057.940526315789
2005-03-01,30201.099545454545
2005-04-01,28534.243333333333
2005-05-01,28341.272857142857
2005-06-01,29725.346363636364
2005-07-01,31515.797000000000
2005-08-01,31913.656521739130
2005-09-01,32308.180000000000
2005-10-01,31149.538095238095
2005-11-01,31876.602857142857
2005-12-01,32676.096666666667
2006-01-01,34262.049000000000
2006-02-01,35263.861578947368
2006-03-01,35838.789565217391
2006-04-01,36859.212105263158
2006-05-01,35949.576818181818
2006-06-01,34098.239545454545
2006-07-01,33420.777000000000
2006-08-01,33077.234347826087
2006-09-01,33982.664500000000
2006-10-01,35259.639545454545
2006-11-01,36262.858095238095
2006-12-01,37157.131000000000
2007-01-01,37374.078500000000
2007-02-01,38697.788421052632
2007-03-01,37468.579090909091
2007-04-01,38879.995000000000
2007-05-01,38866.962272727273
2007-06-01,39303.292380952381
2007-07-01,39004.994761904762
2007-08-01,36155.252173913043
