DATE,WILL4500IND
1998-05-01,4.8615000000000000
1998-06-01,4.6836363636363636
1998-07-01,4.7845454545454545
1998-08-01,4.2619047619047619
1998-09-01,3.8761904761904762
1998-10-01,3.7859090909090909
1998-11-01,4.3380000000000000
1998-12-01,4.4518181818181818
1999-01-01,4.8121052631578947
1999-02-01,4.6584210526315789
1999-03-01,4.6913043478260870
1999-04-01,4.9719047619047619
1999-05-01,5.1490000000000000
1999-06-01,5.1045454545454545
1999-07-01,5.3109523809523810
1999-08-01,5.0113636363636364
1999-09-01,5.0585714285714286
1999-10-01,5.0333333333333333
1999-11-01,5.5828571428571429
1999-12-01,6.0763636363636364
2000-01-01,6.4575000000000000
2000-02-01,6.9025000000000000
2000-03-01,7.4830434782608696
2000-04-01,6.1747368421052632
2000-05-01,5.9304545454545455
