DATE,WILLSMLCAPVAL
1987-05-01,5988.0700000000000000
1987-06-01,6119.0300000000000000
1987-07-01,6330.0100000000000000
1987-08-01,6563.0200000000000000
1987-09-01,6413.3800000000000000
1987-10-01,4751.8700000000000000
1987-11-01,4560.0800000000000000
1987-12-01,4827.7100000000000000
1988-01-01,5123.0700000000000000
1988-02-01,5502.6900000000000000
1988-03-01,5627.7700000000000000
1988-04-01,5701.6000000000000000
1988-05-01,5623.6600000000000000
1988-06-01,6010.6300000000000000
1988-07-01,6012.1900000000000000
1988-08-01,5915.6900000000000000
1988-09-01,6087.8400000000000000
1988-10-01,6096.1200000000000000
1988-11-01,5938.6600000000000000
1988-12-01,6086.0600000000000000
1989-01-01,6411.4200000000000000
1989-02-01,6464.0500000000000000
1989-03-01,6614.6700000000000000
1989-04-01,6853.2600000000000000
1989-05-01,7082.4300000000000000
1989-06-01,7040.2200000000000000
1989-07-01,7282.8200000000000000
1989-08-01,7553.9600000000000000
1989-09-01,7583.9500000000000000
1989-10-01,7106.0100000000000000
1989-11-01,7085.7600000000000000
1989-12-01,7070.3800000000000000
1990-01-01,6513.9400000000000000
1990-02-01,6679.7900000000000000
1990-03-01,6828.2100000000000000
1990-04-01,6517.9400000000000000
1990-05-01,6889.4000000000000000
1990-06-01,6832.6300000000000000
1990-07-01,6544.2200000000000000
1990-08-01,5823.8400000000000000
1990-09-01,5329.8000000000000000
1990-10-01,4993.6000000000000000
1990-11-01,5324.1200000000000000
1990-12-01,5532.7200000000000000
1991-01-01,5893.7300000000000000
1991-02-01,6537.2700000000000000
1991-03-01,6884.6600000000000000
1991-04-01,6993.3700000000000000
1991-05-01,7269.1900000000000000
1991-06-01,7059.5400000000000000
1991-07-01,7328.9300000000000000
1991-08-01,7556.6400000000000000
1991-09-01,7517.5800000000000000
1991-10-01,7649.2800000000000000
1991-11-01,7294.2000000000000000
1991-12-01,7824.1300000000000000
1992-01-01,8391.1500000000000000
1992-02-01,8740.7600000000000000
1992-03-01,8577.0000000000000000
1992-04-01,8519.0400000000000000
1992-05-01,8651.9000000000000000
1992-06-01,8466.2900000000000000
1992-07-01,8705.9500000000000000
1992-08-01,8460.1800000000000000
1992-09-01,8593.9000000000000000
1992-10-01,8737.9400000000000000
1992-11-01,9237.9700000000000000
1992-12-01,9603.4100000000000000
1993-01-01,9997.5000000000000000
1993-02-01,10018.2600000000000000
1993-03-01,10389.9200000000000000
1993-04-01,10116.9100000000000000
1993-05-01,10498.7000000000000000
1993-06-01,10620.8100000000000000
1993-07-01,10805.0300000000000000
1993-08-01,11201.3200000000000000
1993-09-01,11330.5800000000000000
1993-10-01,11647.4100000000000000
1993-11-01,11389.2300000000000000
1993-12-01,11800.5600000000000000
1994-01-01,12242.8900000000000000
1994-02-01,12154.5000000000000000
1994-03-01,11550.6900000000000000
1994-04-01,11594.0800000000000000
1994-05-01,11544.9000000000000000
1994-06-01,11396.8900000000000000
1994-07-01,11662.4600000000000000
1994-08-01,12197.3500000000000000
1994-09-01,12186.8300000000000000
1994-10-01,12041.4700000000000000
1994-11-01,11487.7200000000000000
1994-12-01,11757.1000000000000000
1995-01-01,11709.1200000000000000
1995-02-01,12169.0800000000000000
1995-03-01,12353.2400000000000000
1995-04-01,12692.9200000000000000
1995-05-01,12897.8000000000000000
1995-06-01,13408.3700000000000000
1995-07-01,14024.7600000000000000
1995-08-01,14326.9600000000000000
1995-09-01,14460.8200000000000000
1995-10-01,13804.5900000000000000
1995-11-01,14469.7800000000000000
1995-12-01,14912.9300000000000000
1996-01-01,14985.1200000000000000
1996-02-01,15296.6100000000000000
1996-03-01,15709.9600000000000000
1996-04-01,16333.4400000000000000
1996-05-01,16888.3500000000000000
1996-06-01,16583.7400000000000000
1996-07-01,15555.7600000000000000
1996-08-01,16336.2000000000000000
1996-09-01,16902.1900000000000000
1996-10-01,17072.9500000000000000
1996-11-01,17892.2000000000000000
1996-12-01,18244.6100000000000000
1997-01-01,18657.6000000000000000
1997-02-01,18624.9300000000000000
1997-03-01,18090.5100000000000000
1997-04-01,18095.3300000000000000
1997-05-01,19983.2900000000000000
1997-06-01,21004.400000000000
1997-07-01,22207.740000000000
1997-08-01,22568.300000000000
