DATE,EXTHUS
2012-09-01,30.9442
2012-10-01,30.6764
2012-11-01,30.6945
2012-12-01,30.6155
2013-01-01,30.041
2013-02-01,29.8105
2013-03-01,29.4948
2013-04-01,29.0573
2013-05-01,29.7618
2013-06-01,30.816
2013-07-01,31.1082
2013-08-01,31.5645
2013-09-01,31.6345
2013-10-01,31.185
2013-11-01,31.6242
2013-12-01,32.3505
2014-01-01,32.9262
2014-02-01,32.6179
2014-03-01,32.3619
2014-04-01,32.2982
2014-05-01,32.5257
2014-06-01,32.4905
2014-07-01,32.0864
2014-08-01,32.0048
2014-09-01,32.1971
2014-10-01,32.4418
2014-11-01,32.7878
2014-12-01,32.8876
2015-01-01,32.728
2015-02-01,32.5595
2015-03-01,32.6245
2015-04-01,32.5141
2015-05-01,33.52
2015-06-01,33.7186
2015-07-01,34.3518
2015-08-01,35.3938
2015-09-01,36.0114
2015-10-01,35.679
2015-11-01,35.7784
2015-12-01,35.9936
2016-01-01,36.1226
2016-02-01,35.5955
2016-03-01,35.2117
2016-04-01,35.0629
2016-05-01,35.4076
2016-06-01,35.2668
2016-07-01,35.041
2016-08-01,34.7122
2016-09-01,34.7133
2016-10-01,35.0545
2016-11-01,35.3345
2016-12-01,35.7776
2017-01-01,35.4289
2017-02-01,34.9989
2017-03-01,34.8752
2017-04-01,34.4495
2017-05-01,34.4573
2017-06-01,33.9891
2017-07-01,33.709
2017-08-01,33.247
2017-09-01,33.1385
2017-10-01,33.2186
2017-11-01,32.8905
2017-12-01,32.6165
2018-01-01,31.87
2018-02-01,31.49
2018-03-01,31.2564
2018-04-01,31.3086
2018-05-01,31.8356
