DATE,WILLLRGCAP
2005-01-01,26802.547
2005-02-01,27291.41474
2005-03-01,27268.74273
2005-04-01,26646.66429
2005-05-01,27044.89905
2005-06-01,27718.53318
2005-07-01,28275.458
2005-08-01,28373.31043
2005-09-01,28482.29905
2005-10-01,27738.59762
2005-11-01,28885.5081
2005-12-01,29526.02143
2006-01-01,30007.334
2006-02-01,29963.86684
2006-03-01,30396.09652
2006-04-01,30673.77316
2006-05-01,30422.85227
2006-06-01,29575.84182
2006-07-01,29766.2565
2006-08-01,30414.41087
2006-09-01,31176.6565
2006-10-01,32298.44455
2006-11-01,33003.2119
2006-12-01,33759.6945
2007-01-01,34023.104
2007-02-01,34636.58474
2007-03-01,33809.26773
2007-04-01,35203.7555
2007-05-01,36353.31045
2007-06-01,36519.4381
2007-07-01,36738.85667
2007-08-01,35171.72087
2007-09-01,36291.68895
2007-10-01,37444.55826
2007-11-01,35718.71286
2007-12-01,36204.2545
2008-01-01,33774.63667
2008-02-01,33325.008
2008-03-01,32407.2845
2008-04-01,33817.72045
2008-05-01,34759.83952
2008-06-01,33481.32762
2008-07-01,31389.95182
2008-08-01,31982.17333
2008-09-01,30404.88143
2008-10-01,24139.56087
2008-11-01,21999.29105
2008-12-01,21934.53682
2009-01-01,21787.5465
2009-02-01,20379.65526
2009-03-01,19265.87091
2009-04-01,21578.86238
2009-05-01,22956.2445
2009-06-01,23606.03318
2009-07-01,23902.09045
2009-08-01,25804.40524
2009-09-01,26718.27714
2009-10-01,27338.58682
2009-11-01,27892.329
2009-12-01,28525.75364
2010-01-01,28932.19
2010-02-01,28132.1
2010-03-01,29835.35
2010-04-01,31047.44476
2010-05-01,29212.779
2010-06-01,28204.32591
2010-07-01,28138.72143
2010-08-01,28402.99227
2010-09-01,29394.69095
2010-10-01,30747.80048
2010-11-01,31564.73286
2010-12-01,32765.87182
2011-01-01,33901.1505
2011-02-01,34951.64316
2011-03-01,34571.88913
2011-04-01,35356.4305
2011-05-01,35588.42238
2011-06-01,34306.73091
2011-07-01,35382.0645
2011-08-01,31647.08
2011-09-01,31380.22857
2011-10-01,32263.10143
2011-11-01,32839.8019
2011-12-01,33350.25095
2012-01-01,34975.4115
2012-02-01,36485.4815
2012-03-01,37519.79591
2012-04-01,37459.3445
2012-05-01,36280.80727
2012-06-01,35800.59476
2012-07-01,36814.65762
2012-08-01,38031.69261
2012-09-01,39227.10421
2012-10-01,39106.10381
2012-11-01,38036.44333
2012-12-01,38911.2575
2013-01-01,40619.37952
2013-02-01,41569.03
2013-03-01,42697.9975
2013-04-01,43279.05773
2013-05-01,45247.58636
2013-06-01,44705.594
2013-07-01,46200.31
2013-08-01,46393.58909
2013-09-01,46990.156
2013-10-01,48006.67217
2013-11-01,49754.1055
2013-12-01,50522.83095
2014-01-01,51058.86476
2014-02-01,51049.06316
2014-03-01,52444.80571
2014-04-01,52468.39667
2014-05-01,53256.76619
2014-06-01,54969.57429
2014-07-01,55763.96455
2014-08-01,55550.22429
2014-09-01,56507.26905
2014-10-01,54937.71609
2014-11-01,58104.79053
2014-12-01,58455.84455
2015-01-01,57892.5575
2015-02-01,59587.00947
2015-03-01,59662.86818
2015-04-01,60163.70476
2015-05-01,60703.037
2015-06-01,60469.04273
2015-07-01,60384.52409
2015-08-01,58968.52524
2015-09-01,56356.40905
2015-10-01,58681.84227
2015-11-01,60363.6225
2015-12-01,59653.49455
2016-01-01,55740.38
2016-02-01,55322.6705
2016-03-01,58967.05545
2016-04-01,60670.51667
2016-05-01,60560.78571
2016-06-01,61226.01818
2016-07-01,63281.39
2016-08-01,64249.60739
2016-09-01,63847.13619
2016-10-01,63474.80667
2016-11-01,64321.9381
2016-12-01,66993.47571
2017-01-01,67973.8455
2017-02-01,69726.62421
2017-03-01,70898.19913
2017-04-01,70814.36789
2017-05-01,71967.44318
2017-06-01,73290.35227
2017-07-01,73953.788
2017-08-01,74161.55522
2017-09-01,75439.527
2017-10-01,77502.76864
2017-11-01,78716.69905
2017-12-01,81056.225
2018-01-01,84905.13524
2018-02-01,82463.14368
2018-03-01,82632.83857
2018-04-01,81235.63095
2018-05-01,.
