DATE,RU3000GTR
2017-06-01,6182.740455
2017-07-01,6252.37
2017-08-01,6285.576957
2017-09-01,6429.1305
2017-10-01,6623.017273
2017-11-01,6808.559048
2017-12-01,6965.3665
2018-01-01,7347.449524
2018-02-01,7198.942632
2018-03-01,7286.803333
2018-04-01,7129.059048
