DATE,LFEASETTCAM647N
2014-05-01,14011900
2014-06-01,14121300
2014-07-01,14015500
2014-08-01,13980300
2014-09-01,13918300
2014-10-01,13963100
2014-11-01,13953100
2014-12-01,13915100
2015-01-01,13813800
2015-02-01,13890400
2015-03-01,13904300
2015-04-01,13956500
2015-05-01,14198000
2015-06-01,14312700
2015-07-01,14208300
2015-08-01,14181700
2015-09-01,14102900
2015-10-01,14172200
2015-11-01,14086300
2015-12-01,14086600
2016-01-01,13974000
2016-02-01,13973600
2016-03-01,14047000
2016-04-01,14116400
2016-05-01,14365300
2016-06-01,14492700
2016-07-01,14336300
2016-08-01,14314600
2016-09-01,14288500
2016-10-01,14342800
2016-11-01,14341800
2016-12-01,14369800
2017-01-01,14297000
2017-02-01,14342800
2017-03-01,14355100
2017-04-01,14374500
2017-05-01,14661100
2017-06-01,14778600
2017-07-01,14650800
2017-08-01,14634900
2017-09-01,14551300
2017-10-01,14574500
2017-11-01,14601000
2017-12-01,14663900
2018-01-01,14462600
2018-02-01,14511400
2018-03-01,14539000
2018-04-01,14605000
2018-05-01,14833800
2018-06-01,14917000
