DATE,WILLSMLCAP
1987-08-01,6053.6700000000000000
1987-09-01,5927.3300000000000000
1987-10-01,4228.3200000000000000
1987-11-01,4027.1000000000000000
1987-12-01,4360.7000000000000000
1988-01-01,4544.5000000000000000
1988-02-01,4900.7000000000000000
1988-03-01,5057.1800000000000000
1988-04-01,5136.5800000000000000
1988-05-01,5048.5900000000000000
1988-06-01,5400.7300000000000000
1988-07-01,5339.1600000000000000
1988-08-01,5211.7200000000000000
1988-09-01,5350.7100000000000000
1988-10-01,5328.6100000000000000
1988-11-01,5185.4300000000000000
1988-12-01,5356.5500000000000000
1989-01-01,5639.1600000000000000
1989-02-01,5681.0600000000000000
1989-03-01,5810.7600000000000000
1989-04-01,6079.0500000000000000
1989-05-01,6322.9400000000000000
1989-06-01,6216.2700000000000000
1989-07-01,6473.5600000000000000
1989-08-01,6661.6800000000000000
1989-09-01,6667.4800000000000000
1989-10-01,6280.6300000000000000
1989-11-01,6327.1700000000000000
1989-12-01,6342.9900000000000000
1990-01-01,5820.6400000000000000
1990-02-01,5989.2700000000000000
1990-03-01,6181.4000000000000000
1990-04-01,5945.5800000000000000
1990-05-01,6363.3200000000000000
1990-06-01,6363.7000000000000000
1990-07-01,6105.7200000000000000
1990-08-01,5333.5300000000000000
1990-09-01,4855.8000000000000000
1990-10-01,4582.8100000000000000
1990-11-01,4931.0600000000000000
1990-12-01,5155.0300000000000000
1991-01-01,5561.4000000000000000
1991-02-01,6167.6400000000000000
1991-03-01,6516.7900000000000000
1991-04-01,6523.7000000000000000
1991-05-01,6791.7000000000000000
1991-06-01,6508.1400000000000000
1991-07-01,6785.9700000000000000
1991-08-01,7052.0500000000000000
1991-09-01,7060.3000000000000000
1991-10-01,7243.4500000000000000
1991-11-01,6869.9800000000000000
1991-12-01,7510.6700000000000000
1992-01-01,8027.3500000000000000
1992-02-01,8261.1000000000000000
1992-03-01,7972.4000000000000000
1992-04-01,7737.6800000000000000
1992-05-01,7786.4300000000000000
1992-06-01,7516.2500000000000000
1992-07-01,7778.4000000000000000
1992-08-01,7548.1600000000000000
1992-09-01,7710.5600000000000000
1992-10-01,7955.8700000000000000
1992-11-01,8548.5200000000000000
1992-12-01,8846.0300000000000000
1993-01-01,9124.4500000000000000
1993-02-01,8939.9600000000000000
1993-03-01,9264.7400000000000000
1993-04-01,8984.5800000000000000
1993-05-01,9347.4900000000000000
1993-06-01,9435.4800000000000000
1993-07-01,9549.2700000000000000
1993-08-01,9976.9900000000000000
1993-09-01,10229.7100000000000000
1993-10-01,10438.6400000000000000
1993-11-01,10120.2500000000000000
1993-12-01,10499.3800000000000000
1994-01-01,10815.2100000000000000
1994-02-01,10781.3300000000000000
1994-03-01,10180.6600000000000000
1994-04-01,10181.6900000000000000
1994-05-01,10088.9700000000000000
1994-06-01,9811.7000000000000000
1994-07-01,10051.5700000000000000
1994-08-01,10625.8500000000000000
1994-09-01,10578.6800000000000000
1994-10-01,10574.5200000000000000
1994-11-01,10095.0000000000000000
1994-12-01,10355.2000000000000000
1995-01-01,10256.5100000000000000
1995-02-01,10715.7600000000000000
1995-03-01,10970.8600000000000000
1995-04-01,11173.9000000000000000
1995-05-01,11372.6600000000000000
1995-06-01,11940.5900000000000000
1995-07-01,12704.6100000000000000
1995-08-01,12916.7200000000000000
1995-09-01,13171.7600000000000000
1995-10-01,12688.5200000000000000
1995-11-01,13258.0000000000000000
1995-12-01,13572.9900000000000000
1996-01-01,13512.3600000000000000
1996-02-01,13948.2100000000000000
1996-03-01,14268.4100000000000000
1996-04-01,15074.9200000000000000
1996-05-01,15582.9000000000000000
1996-06-01,15022.2700000000000000
1996-07-01,13848.0600000000000000
1996-08-01,14646.6300000000000000
1996-09-01,15297.3900000000000000
1996-10-01,15085.9600000000000000
1996-11-01,15706.9600000000000000
1996-12-01,15931.4300000000000000
1997-01-01,16245.0200000000000000
1997-02-01,15890.5700000000000000
1997-03-01,15111.4600000000000000
1997-04-01,15095.2000000000000000
1997-05-01,16807.0100000000000000
1997-06-01,17722.5300000000000000
1997-07-01,18768.2200000000000000
1997-08-01,19089.2300000000000000
1997-09-01,20464.620000000000
1997-10-01,19591.9000000000000000
1997-11-01,19465.9700000000000000
1997-12-01,19893.4000000000000000
1998-01-01,19683.6300000000000000
1998-02-01,21237.370000000000
1998-03-01,22223.460000000000
1998-04-01,22346.320000000000
1998-05-01,21165.780000000000
1998-06-01,21400.090000000000
1998-07-01,19902.0100000000000000
1998-08-01,16033.0600000000000000
1998-09-01,17130.2500000000000000
1998-10-01,17978.0700000000000000
1998-11-01,18955.7400000000000000
1998-12-01,20162.650000000000
1999-01-01,20359.830000000000
1999-02-01,19410.459473684211
1999-03-01,19273.064782608696
1999-04-01,20275.411428571429
1999-05-01,21517.681000000000
1999-06-01,21727.556363636364
1999-07-01,22774.042380952381
1999-08-01,21679.727272727273
1999-09-01,21734.470476190476
1999-10-01,21238.120952380952
1999-11-01,23233.408095238095
1999-12-01,24629.375000000000
2000-01-01,25970.555000000000
2000-02-01,27680.926500000000
2000-03-01,29620.618260869565
2000-04-01,24918.018947368421
2000-05-01,24411.797272727273
2000-06-01,25678.555000000000
2000-07-01,26368.856000000000
2000-08-01,25895.230000000000
2000-09-01,26436.943000000000
2000-10-01,24163.136363636364
2000-11-01,23831.395714285714
2000-12-01,22867.018000000000
2001-01-01,23822.733333333333
2001-02-01,24045.442631578947
2001-03-01,21992.972272727273
2001-04-01,21832.276500000000
