DATE,RU2000VPR
2009-10-01,3041.791818
2009-11-01,2952.821
2009-12-01,3086.471818
2010-01-01,3191.986842
2010-02-01,3110.178947
2010-03-01,3419.018261
2010-04-01,3670.634286
2010-05-01,3474.476
2010-06-01,3258.605909
2010-07-01,3171.800476
2010-08-01,3153.085455
2010-09-01,3257.189048
2010-10-01,3461.857619
2010-11-01,3573.877143
2010-12-01,3795.697727
2011-01-01,3882.8985
2011-02-01,3982.42
2011-03-01,3964.391739
2011-04-01,4058.6385
2011-05-01,4006.225714
2011-06-01,3846.129545
2011-07-01,3964.8255
2011-08-01,3381.860435
2011-09-01,3249.63619
2011-10-01,3338.210952
2011-11-01,3438.412381
2011-12-01,3518.094762
2012-01-01,3715.3385
2012-02-01,3919.4955
2012-03-01,3910.462727
2012-04-01,3860.3605
2012-05-01,3725.991818
2012-06-01,3662.862857
2012-07-01,3802.965714
2012-08-01,3850.684348
2012-09-01,4049.777895
2012-10-01,3986.403913
2012-11-01,3865.603333
2012-12-01,4037.1785
2013-01-01,4290.110476
2013-02-01,4406.644211
2013-03-01,4527.8715
2013-04-01,4471.366364
2013-05-01,4685.739091
2013-06-01,4658.167
2013-07-01,4910.859091
2013-08-01,4883.515455
2013-09-01,4924.085
2013-10-01,5094.057391
2013-11-01,5195.069
2013-12-01,5296.445714
2014-01-01,5341.333333
2014-02-01,5259.585789
2014-03-01,5491.069048
2014-04-01,5399.161429
2014-05-01,5306.95
2014-06-01,5507.140476
2014-07-01,5458.331364
2014-08-01,5362.204762
2014-09-01,5337.115238
2014-10-01,5120.032609
2014-11-01,5444.427368
2014-12-01,5438.771364
2015-01-01,5402.8725
2015-02-01,5513.562105
2015-03-01,5557.621364
2015-04-01,5640.114762
2015-05-01,5543.188
2015-06-01,5612.046364
2015-07-01,5455.777273
2015-08-01,5194.963333
2015-09-01,5013.690952
2015-10-01,5163.296364
2015-11-01,5243.0045
2015-12-01,5085.913182
2016-01-01,4613.652105
2016-02-01,4568.3675
2016-03-01,4958.414091
2016-04-01,5109.528095
2016-05-01,5144.441429
2016-06-01,5262.717273
2016-07-01,5449.951
2016-08-01,5615.651739
2016-09-01,5643.425238
2016-10-01,5604.247143
2016-11-01,5919.92381
2016-12-01,6484.460952
2017-01-01,6464.9585
2017-02-01,6525.677368
2017-03-01,6390.196087
2017-04-01,6389.53
2017-05-01,6346.888636
2017-06-01,6425.611818
2017-07-01,6483.4895
2017-08-01,6285.983913
2017-09-01,6477.1445
2017-10-01,6791.535909
2017-11-01,6723.042381
2017-12-01,6862.869
2018-01-01,7012.57619
2018-02-01,6675.990526
2018-03-01,6744.901429
2018-04-01,6736.216667
