DATE,SFTPINDM114SFRBSF
2006-01-01,81.68619
2006-02-01,83.16987
2006-03-01,83.91397
2006-04-01,84.16224
2006-05-01,84.43356
2006-06-01,84.79343
2006-07-01,85.22615
2006-08-01,85.8829
2006-09-01,86.39092
2006-10-01,86.43793
2006-11-01,86.3681
2006-12-01,86.67238
2007-01-01,87.63868
2007-02-01,89.20897
2007-03-01,90.8701
2007-04-01,91.75108
2007-05-01,91.23526
2007-06-01,89.97782
2007-07-01,89.17803
2007-08-01,89.39299
2007-09-01,90.43623
2007-10-01,91.85283
2007-11-01,92.92566
2007-12-01,92.98032
2008-01-01,92.18001
2008-02-01,91.254
2008-03-01,90.72854
2008-04-01,90.43039
2008-05-01,89.75797
2008-06-01,88.23808
2008-07-01,86.1541
2008-08-01,83.90253
2008-09-01,81.18324
2008-10-01,77.41884
2008-11-01,72.96032
2008-12-01,68.96002
2009-01-01,66.31316
2009-02-01,65.07306
2009-03-01,64.56163
2009-04-01,64.34559
2009-05-01,64.55071
2009-06-01,65.41046
2009-07-01,66.73572
2009-08-01,68.06837
2009-09-01,69.25936
2009-10-01,70.19563
2009-11-01,70.75103
2009-12-01,71.09405
2010-01-01,71.64702
2010-02-01,72.32447
2010-03-01,72.86862
2010-04-01,73.17787
2010-05-01,73.31854
2010-06-01,73.635
2010-07-01,74.32207
2010-08-01,74.97993
2010-09-01,75.32349
2010-10-01,75.47654
2010-11-01,75.59519
2010-12-01,75.5174
2011-01-01,75.09178
2011-02-01,74.56163
2011-03-01,74.35112
2011-04-01,74.56095
2011-05-01,74.79919
2011-06-01,74.7774
2011-07-01,74.68486
2011-08-01,74.80554
2011-09-01,74.85301
2011-10-01,74.47028
2011-11-01,73.82183
2011-12-01,73.3645
2012-01-01,73.31196
2012-02-01,73.4042
2012-03-01,73.40405
2012-04-01,73.50602
2012-05-01,73.65129
2012-06-01,73.31515
2012-07-01,72.30106
2012-08-01,71.42462
2012-09-01,71.69835
2012-10-01,72.75546
2012-11-01,73.56059
2012-12-01,73.83626
2013-01-01,73.96589
2013-02-01,74.25281
2013-03-01,74.62038
2013-04-01,74.87708
2013-05-01,74.98229
2013-06-01,74.98648
2013-07-01,74.91418
2013-08-01,74.77929
2013-09-01,74.62516
2013-10-01,74.50322
2013-11-01,74.40346
2013-12-01,74.23834
2014-01-01,74.17232
2014-02-01,74.38767
2014-03-01,74.75988
2014-04-01,75.15885
2014-05-01,75.55237
2014-06-01,75.7361
2014-07-01,75.46392
2014-08-01,74.79107
2014-09-01,73.9795
2014-10-01,73.3259
2014-11-01,72.90223
2014-12-01,72.64787
2015-01-01,72.65484
2015-02-01,73.04996
2015-03-01,73.67751
2015-04-01,74.2922
2015-05-01,74.7687
2015-06-01,75.18495
2015-07-01,75.57153
2015-08-01,75.86858
2015-09-01,75.95157
2015-10-01,75.66103
2015-11-01,75.03831
2015-12-01,74.47839
2016-01-01,74.13625
2016-02-01,73.94521
2016-03-01,73.87994
2016-04-01,73.97978
2016-05-01,74.43664
2016-06-01,75.232
2016-07-01,76.05047
2016-08-01,76.63027
2016-09-01,77.13179
2016-10-01,77.78914
2016-11-01,78.53388
2016-12-01,79.06757
2017-01-01,79.20467
2017-02-01,79.21947
2017-03-01,79.60647
2017-04-01,80.45394
2017-05-01,81.35308
2017-06-01,82.02924
2017-07-01,82.56569
2017-08-01,83.34984
2017-09-01,84.46774
2017-10-01,85.69766
2017-11-01,86.81407
2017-12-01,87.65682
2018-01-01,88.24738
2018-02-01,88.85427
2018-03-01,89.57616
2018-04-01,90.33071
