DATE,RU1000GPR
1993-07-01,135.1442857142857143
1993-08-01,136.6727272727272727
1993-09-01,137.8604761904761905
1993-10-01,140.2519047619047619
1993-11-01,141.0400000000000000
1993-12-01,141.7363636363636364
1994-01-01,144.3176190476190476
1994-02-01,143.7515789473684211
1994-03-01,141.6213043478260870
1994-04-01,135.0900000000000000
1994-05-01,136.5466666666666667
1994-06-01,137.1500000000000000
1994-07-01,136.1410000000000000
1994-08-01,141.2052173913043478
1994-09-01,143.9500000000000000
1994-10-01,143.8314285714285714
1994-11-01,144.3957142857142857
1994-12-01,141.7442857142857143
1995-01-01,144.7804761904761905
1995-02-01,150.9121052631578947
1995-03-01,155.3608695652173913
1995-04-01,158.3073684210526316
1995-05-01,163.0509090909090909
1995-06-01,169.0977272727272727
1995-07-01,176.0955000000000000
1995-08-01,177.5417391304347826
1995-09-01,184.5030000000000000
1995-10-01,185.5900000000000000
1995-11-01,190.4457142857142857
1995-12-01,194.3710000000000000
1996-01-01,192.8800000000000000
1996-02-01,206.0385000000000000
1996-03-01,205.0500000000000000
1996-04-01,205.3066666666666667
1996-05-01,212.2700000000000000
1996-06-01,215.8130000000000000
1996-07-01,205.1450000000000000
1996-08-01,211.4995454545454545
1996-09-01,216.9270000000000000
1996-10-01,225.4956521739130435
1996-11-01,235.1505000000000000
1996-12-01,236.6490476190476190
1997-01-01,244.6909090909090909
1997-02-01,254.1952631578947368
1997-03-01,249.6045000000000000
1997-04-01,240.7800000000000000
1997-05-01,264.2690476190476190
1997-06-01,277.4428571428571429
1997-07-01,296.2640909090909091
1997-08-01,296.2366666666666667
1997-09-01,298.1495238095238095
1997-10-01,301.6082608695652174
1997-11-01,297.2426315789473684
1997-12-01,301.2117391304347826
1998-01-01,305.4170000000000000
1998-02-01,328.2378947368421053
1998-03-01,341.7145454545454545
1998-04-01,352.0223809523809524
1998-05-01,351.5335000000000000
1998-06-01,352.7954545454545455
1998-07-01,375.2068181818181818
1998-08-01,351.0419047619047619
1998-09-01,331.4000000000000000
1998-10-01,331.3027272727272727
1998-11-01,376.5655000000000000
1998-12-01,398.7750000000000000
1999-01-01,426.2850000000000000
1999-02-01,427.2605000000000000
1999-03-01,438.3539130434782609
1999-04-01,453.0885714285714286
1999-05-01,440.9819047619047619
1999-06-01,438.6050000000000000
1999-07-01,465.0281818181818182
1999-08-01,446.1231818181818182
1999-09-01,456.7504761904761905
1999-10-01,454.4795454545454545
1999-11-01,497.2904761904761905
1999-12-01,531.5550000000000000
2000-01-01,541.0770000000000000
2000-02-01,548.0560000000000000
2000-03-01,578.7556521739130435
